episode_start_step,seed_0
0,-545.1799999999998
1000,-557.2100000000006
2000,-566.8650000000016
3000,-548.4350000000002
4000,-555.3850000000011
5000,-567.5299999999997
6000,-555.035000000001
7000,-572.2800000000012
8000,-555.2599999999999
9000,-541.0050000000005
