step,vehicle_queue,ped_queue,tls_phase,switch_count,vehicle_throughput,ped_throughput,reward,cumulative_reward,spawned_vehicles,spawned_peds
0,0,0,0,0,0,0,-0.0,0.0,car_WC_CN.0;f_16.0;car_EC_CW.0;car_NC_CW.0;car_SC_CW.0;car_WC_CE.0;car_NC_CS.0;f_21.0;f_12.0;car_EC_CS.0;car_NC_CE.0;f_19.0;car_SC_CN.0;f_20.0,f_26.0;f_30.0;f_29.0;f_32.0;f_28.0;f_31.0;f_25.0;f_27.0;f_33.0;f_34.0;f_35.0;f_24.0
1,0,0,0,0,0,0,-0.0,0.0,,
2,0,0,0,0,0,0,-0.0,0.0,,
3,0,0,0,0,0,0,-0.0,0.0,,
4,0,0,0,0,0,0,-0.0,0.0,f_14.0,
5,0,0,0,0,0,0,-0.0,0.0,f_22.0;f_18.0,
6,0,0,0,0,0,0,-0.0,0.0,car_WC_CS.0;f_13.0,
7,0,0,0,0,0,0,-0.0,0.0,,
8,0,0,0,0,0,0,-0.0,0.0,f_17.0;f_23.0,
9,0,0,0,0,0,0,-0.0,0.0,,
10,0,0,0,0,0,0,-0.0,0.0,,
11,0,0,0,0,0,0,-0.0,0.0,,
12,0,0,0,0,0,0,-0.0,0.0,,
13,0,0,0,0,0,0,-0.0,0.0,,
14,0,0,0,0,0,0,-0.0,0.0,,
15,0,0,0,0,0,0,-0.0,0.0,,
16,0,0,0,0,0,0,-0.0,0.0,,
17,0,0,0,0,0,0,-0.0,0.0,,
18,0,0,0,0,0,0,-0.0,0.0,car_EC_CN.0,
19,0,0,0,0,0,0,-0.0,0.0,,
20,0,0,0,0,0,0,-0.0,0.0,,
21,0,0,0,0,0,0,-0.0,0.0,,
22,0,0,0,0,0,0,-0.0,0.0,car_SC_CE.0,
23,0,0,0,0,0,0,-0.0,0.0,,
24,0,0,0,0,0,0,-0.0,0.0,,
25,0,0,0,0,0,0,-0.0,0.0,,
26,0,0,0,0,0,0,-0.0,0.0,,
27,0,0,0,0,0,0,-0.0,0.0,,
28,0,0,0,0,0,0,-0.0,0.0,,
29,0,0,0,0,0,0,-0.0,0.0,,
30,0,0,0,0,0,0,-0.0,0.0,,
31,0,0,0,0,0,0,-0.0,0.0,,
32,0,0,0,0,0,0,-0.0,0.0,,
33,0,0,0,0,0,0,-0.0,0.0,,
34,0,0,0,0,0,0,-0.0,0.0,,
35,0,0,0,0,0,0,-0.0,0.0,,
36,0,0,0,0,0,0,-0.0,0.0,,
37,0,0,0,0,0,0,-0.0,0.0,,
38,0,0,0,0,0,0,-0.0,0.0,,
39,0,0,0,0,0,0,-0.0,0.0,,
40,0,0,0,0,0,0,-0.0,0.0,,
41,0,0,0,0,0,0,-0.0,0.0,,
42,0,0,0,0,0,0,-0.0,0.0,,
43,0,0,0,0,0,0,-0.0,0.0,,
44,0,0,0,0,0,0,-0.0,0.0,,
45,0,0,0,0,0,0,-0.0,0.0,,
46,0,0,0,0,0,0,-0.0,0.0,f_15.0,
47,0,0,0,0,0,0,-0.0,0.0,,
48,0,0,0,0,0,0,-0.0,0.0,,
49,0,0,0,0,0,0,-0.0,0.0,,
50,0,0,1,1,0,0,-0.0,0.0,,
51,0,0,1,1,0,0,-0.0,0.0,,
52,0,0,1,1,0,0,-0.0,0.0,,
53,0,0,1,1,0,0,-0.0,0.0,,
54,0,0,1,1,0,0,-0.0,0.0,,
55,0,0,1,1,0,0,-0.0,0.0,,
56,0,0,1,1,0,0,-0.0,0.0,,
57,0,0,1,1,0,0,-0.0,0.0,,
58,0,0,1,1,0,0,-0.0,0.0,,
59,0,0,1,1,0,0,-0.0,0.0,,
60,0,0,1,1,0,0,-0.0,0.0,,
61,0,0,1,1,0,0,-0.0,0.0,,
62,0,0,1,1,0,0,-0.0,0.0,,
63,0,0,1,1,0,0,-0.0,0.0,,
64,0,0,1,1,0,0,-0.0,0.0,,
65,0,0,1,1,0,0,-0.0,0.0,,
66,0,0,1,1,0,0,-0.0,0.0,,
