vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step
99,9,6956.5,363.0,1,0
97,9,6634.5,367.5,0,0
95,9,6333.5,372.0,0,0
93,9,6059.0,376.5,2,0
92,9,5946.5,381.0,0,0
91,9,5855.0,385.5,0,0
89,9,5628.5,390.0,0,0
91,9,5676.0,394.5,0,0
89,9,5485.5,399.0,2,0
87,9,5317.0,403.5,1,0
89,9,5363.5,408.0,0,0
87,9,5231.5,412.5,1,1
88,9,5276.5,417.0,1,0
87,9,5178.5,421.5,0,0
88,9,5223.5,426.0,0,0
87,9,5146.5,430.5,0,0
85,9,5099.0,435.0,0,0
85,9,5141.5,439.5,1,0
84,9,5123.5,444.0,0,0
84,9,5165.5,448.5,0,0
84,9,5176.5,453.0,0,0
87,9,5223.0,457.5,1,0
86,9,5253.0,462.0,0,1
86,9,5296.0,466.5,0,0
83,9,5242.5,471.0,1,0
84,9,5285.5,475.5,0,0
84,9,5327.5,480.0,1,0
86,9,5372.5,484.5,0,0
87,9,5417.0,489.0,0,0
87,9,5460.5,493.5,0,0
88,9,5505.5,498.0,0,0
88,9,5549.5,502.5,0,0
88,9,5521.0,507.0,1,0
89,9,5566.5,511.5,0,0
89,9,5611.0,516.0,1,0
89,9,5655.5,520.5,1,0
90,9,5701.5,525.0,1,0
90,9,5746.5,529.5,1,0
90,9,5791.5,534.0,2,0
91,9,5838.0,538.5,0,0
91,9,5883.5,543.0,1,0
92,9,5930.5,547.5,1,0
93,9,5978.0,552.0,0,0
93,9,6024.5,556.5,0,1
93,9,6071.0,561.0,0,0
95,9,6120.5,565.5,0,0
95,9,6168.0,570.0,0,0
96,9,6217.0,574.5,1,0
98,9,6268.0,579.0,2,0
99,10,6318.5,585.0,1,0
100,10,6369.5,590.0,0,1
100,10,6419.5,595.0,1,0
101,10,6471.0,600.0,0,0
101,10,6521.5,605.0,1,0
102,10,6573.5,610.0,1,0
102,10,6624.5,615.0,1,0
102,10,6675.5,620.0,1,0
102,10,6726.5,625.0,1,1
103,10,6779.0,630.0,0,1
103,10,6830.5,635.0,0,0
104,10,6883.5,640.0,0,0
106,11,6938.5,646.5,1,0
106,11,6991.5,652.0,0,0
106,11,7044.5,657.5,0,0
107,11,7099.0,663.0,2,0
107,11,7152.5,668.5,2,0
107,11,7206.0,674.0,2,0
108,12,7261.0,681.0,1,0
110,13,7318.0,688.5,0,0
110,13,7373.0,695.0,0,0
111,13,7429.5,701.5,1,0
113,13,7488.0,708.0,0,0
113,13,7544.5,714.5,0,0
114,13,7602.5,721.0,0,0
115,13,7661.0,727.5,0,0
113,8,7318.5,372.5,0,0
112,8,7021.5,376.5,0,0
109,8,6763.5,311.5,0,1
109,7,6818.0,240.5,0,0
106,7,6598.0,244.0,0,0
105,7,6452.0,247.5,0,0
104,7,6469.0,251.0,0,2
102,7,6338.5,254.5,0,0
101,7,6300.0,158.5,1,0
101,7,6283.0,144.5,1,0
100,7,6182.5,148.0,0,0
99,6,6165.5,34.5,0,0
97,6,6167.0,37.5,3,0
96,5,6150.5,29.0,0,0
95,5,6156.0,31.5,0,0
96,5,6150.5,34.0,1,0
95,5,6123.5,36.5,0,0
94,5,6154.0,39.0,1,0
94,4,6168.0,32.0,0,0
95,4,6216.5,34.0,0,0
94,4,6236.0,36.0,0,0
95,2,6284.5,24.0,0,0
94,2,6314.0,25.0,0,0
94,2,6361.0,26.0,0,0
94,2,6392.5,27.0,0,0
93,2,6433.5,28.0,1,0
95,2,6483.0,29.0,0,1
95,2,6530.5,30.0,0,0
95,2,6578.0,31.0,0,0
96,2,6627.0,32.0,0,0
97,2,6676.5,33.0,0,0
97,2,6725.0,34.0,1,0
98,2,6775.0,35.0,0,0
99,2,6825.5,36.0,0,0
100,2,6876.5,37.0,1,0
100,2,6926.5,38.0,1,0
100,2,6976.5,39.0,0,0
102,2,7029.5,40.0,0,0
104,2,7083.5,41.0,1,0
104,2,7135.5,42.0,1,0
106,2,7190.5,43.0,0,0
107,2,7245.0,44.0,0,0
107,2,7298.5,45.0,0,1
108,2,7353.5,46.0,0,0
109,2,7409.0,47.0,1,0
109,2,7463.5,48.0,2,0
111,2,7521.0,49.0,0,0
111,2,7576.5,50.0,0,0
111,2,7632.0,51.0,1,0
112,2,7689.0,52.0,1,0
112,2,7745.0,53.0,0,0
114,2,7804.0,54.0,1,0
114,2,7861.0,55.0,1,0
115,2,7919.5,56.0,1,0
113,2,7970.0,57.0,0,1
113,2,8026.5,58.0,0,0
113,2,8083.0,59.0,2,0
111,2,8124.0,60.0,1,0
111,2,8179.5,61.0,0,0
111,2,8235.0,62.0,0,0
112,3,8292.0,64.5,0,0
113,3,8349.5,66.0,1,0
114,3,8407.5,67.5,1,0
115,3,8466.0,69.0,0,0
113,3,8488.0,70.5,1,0
112,3,8529.5,72.0,0,0
111,4,8571.0,75.0,0,0
111,4,8626.5,77.0,2,0
111,4,8682.0,79.0,0,0
112,4,8739.0,81.0,0,0
114,4,8798.0,83.0,0,0
114,4,8855.0,85.0,0,0
115,4,8913.5,87.0,0,0
115,4,8971.0,89.0,0,0
115,4,9028.5,91.0,0,0
115,4,9086.0,93.0,0,0
115,4,9143.5,95.0,0,0
115,5,9201.0,98.5,0,0
115,5,9258.5,101.0,0,0
115,5,9316.0,103.5,0,0
114,5,9188.0,106.0,0,0
112,5,9064.5,108.5,0,0
111,5,8969.5,111.0,0,0
112,5,9026.5,113.5,2,0
111,5,8933.5,116.0,0,0
111,5,8842.5,118.5,0,0
111,5,8898.0,121.0,0,0
110,5,8806.0,123.5,0,0
110,5,8716.5,126.0,0,0
111,5,8773.0,128.5,0,0
112,6,8686.0,132.5,3,0
113,6,8743.5,135.5,0,0
112,6,8655.0,138.5,0,0
112,6,8573.5,141.5,0,1
112,6,8629.5,144.5,0,0
113,6,8687.0,147.5,0,0
112,6,8608.5,150.5,0,0
112,6,8533.5,153.5,0,0
112,6,8589.5,156.5,0,0
111,6,8522.0,159.5,0,0
111,6,8577.5,162.5,0,0
110,6,8517.0,165.5,1,0
109,6,8461.0,168.5,0,0
109,6,8515.5,171.5,1,0
110,6,8571.5,174.5,0,0
110,6,8520.5,177.5,0,0
109,6,8474.5,180.5,2,0
109,6,8529.0,183.5,0,0
108,6,8486.5,186.5,0,0
108,6,8540.5,189.5,3,0
107,6,8506.5,192.5,0,0
107,6,8560.0,195.5,0,0
106,6,8529.0,198.5,1,0
