episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
0,train,-377.75999999999954,1000,30.882,4.596,1022.474,179.0745,378,29,36,1,0
1,train,-350.3350000000003,1000,29.644,3.593,554.072,74.688,372,28,87,1,1000
2,train,-250.31499999999966,1000,21.229,2.535,431.5975,51.626,399,32,74,1,2000
3,train,-246.16500000000005,1000,20.592,2.683,390.3685,54.525,403,30,76,1,3000
4,train,-270.5699999999996,1000,22.479,3.052,422.611,71.0525,402,31,75,1,4000
5,train,-250.7750000000004,1000,20.636,2.961,411.052,72.3815,398,35,72,1,5000
6,train,-323.5100000000007,1000,27.377,3.316,532.407,87.298,372,30,71,1,6000
7,train,-340.80000000000047,1000,29.97,2.74,874.188,58.4785,377,31,70,1,7000
8,train,-268.25499999999977,1000,23.095,2.487,466.7635,56.0525,383,32,68,1,8000
9,train,-240.33499999999995,1000,17.714,4.213,325.991,115.2955,400,29,67,1,9000
10,train,-244.48499999999981,1000,20.406,2.695,398.4415,73.2955,400,32,74,1,10000
11,train,-243.695,1000,20.282,2.725,380.222,59.529,409,31,73,1,11000
12,train,-215.9700000000006,1000,17.241,2.904,317.529,70.323,396,31,70,1,12000
13,train,-247.53000000000003,1000,19.995,3.172,378.034,74.938,408,30,77,1,13000
14,train,-234.72000000000034,1000,18.966,3.004,354.1395,70.8525,398,31,74,1,14000
15,train,-269.56999999999965,1000,23.234,2.482,462.859,55.885,405,30,75,1,15000
16,train,-244.23500000000047,1000,19.874,3.033,351.3615,72.0615,402,29,73,1,16000
17,train,-258.75499999999977,1000,22.106,2.513,431.6535,56.4995,404,29,68,1,17000
18,train,-289.0600000000006,1000,25.051,2.57,514.719,62.07,385,30,71,1,18000
19,train,-227.02999999999983,1000,19.79,1.942,382.0235,37.298,393,32,60,1,19000
20,train,-268.9449999999998,1000,23.341,2.369,497.8605,60.851,393,32,63,1,20000
21,train,-239.30499999999967,1000,20.377,2.369,432.4545,52.7845,401,35,61,1,21000
22,train,-412.12499999999994,1000,38.145,2.045,838.1895,43.473,397,32,65,1,22000
23,train,-327.96500000000015,1000,28.109,3.125,620.402,76.9665,394,31,67,1,23000
24,train,-298.3649999999999,1000,25.755,2.721,546.266,62.733,402,29,66,1,24000
25,train,-237.685,1000,19.909,2.573,355.984,61.3655,397,32,66,1,25000
26,train,-297.55499999999967,1000,25.809,2.631,492.4705,53.459,401,29,78,1,26000
27,train,-279.63,1000,24.456,2.338,481.8115,44.318,408,30,67,1,27000
28,train,-216.3049999999992,1000,17.795,2.557,326.28,60.4645,403,31,66,1,28000
29,train,-256.86000000000007,1000,22.185,2.334,438.8975,55.3275,387,32,68,1,29000
30,train,-309.99999999999955,1000,25.978,3.348,510.5855,78.2365,402,27,73,1,30000
31,train,-233.6699999999996,1000,20.691,1.784,368.482,32.539,407,35,67,1,31000
32,train,-376.04999999999956,1000,32.589,3.344,754.7515,70.0745,373,30,78,1,32000
33,train,-262.3499999999995,1000,22.794,2.294,472.818,49.697,404,33,67,1,33000
34,train,-254.8399999999995,1000,20.213,3.514,353.21,84.9685,399,30,70,1,34000
35,train,-242.39000000000013,1000,20.189,2.7,351.928,58.1455,404,32,73,1,35000
36,train,-216.17999999999984,1000,17.874,2.496,294.8745,50.501,402,30,72,1,36000
37,train,-260.2549999999995,1000,22.388,2.425,410.3015,50.4265,388,31,70,1,37000
38,train,-266.4299999999996,1000,22.347,2.864,398.3185,60.714,402,30,72,1,38000
39,train,-317.42999999999984,1000,27.21,3.022,542.345,70.847,384,29,72,1,39000
40,train,-297.4700000000006,1000,25.442,2.87,458.331,61.072,409,29,71,1,40000
41,train,-246.74500000000015,1000,19.582,3.395,327.7175,77.17,403,31,75,1,41000
42,train,-234.71999999999957,1000,19.638,2.556,341.6355,55.91,402,28,71,1,42000
43,train,-205.3699999999997,1000,16.874,2.442,282.7315,56.2675,401,29,68,1,43000
44,train,-335.8750000000003,1000,28.729,3.239,516.5895,77.597,383,29,74,1,44000
45,train,-233.73,1000,18.699,3.116,322.662,70.009,390,32,73,1,45000
46,train,-290.710000000001,1000,25.504,2.378,491.1555,47.976,406,33,68,1,46000
47,train,-276.8399999999997,1000,23.103,3.054,431.58,76.597,398,31,71,1,47000
48,train,-313.17499999999984,1000,26.633,3.123,472.6995,62.8285,387,30,77,1,48000
49,train,-258.2399999999994,1000,21.213,3.074,384.4505,68.8675,398,30,72,1,49000
50,train,-284.5400000000007,1000,22.817,3.758,412.6895,86.9755,393,32,82,1,50000
51,train,-207.62999999999957,1000,17.001,2.508,284.5045,53.6735,407,31,71,1,51000
52,train,-217.22999999999993,1000,18.39,2.222,327.025,42.113,404,29,68,1,52000
53,train,-237.1050000000002,1000,19.713,2.665,351.85,53.0335,394,30,71,1,53000
54,train,-220.72500000000025,1000,17.847,2.817,307.612,61.344,403,30,73,1,54000
55,train,-300.90500000000054,1000,24.527,3.709,456.765,96.155,400,30,77,1,55000
56,train,-299.3100000000008,1000,25.665,2.844,499.58,60.5045,407,31,72,1,56000
57,train,-196.26500000000033,1000,15.014,3.075,236.7355,66.9065,403,28,75,1,57000
58,train,-221.865,1000,17.793,2.929,299.8665,63.2,402,30,78,1,58000
59,train,-246.6749999999999,1000,20.349,2.879,388.753,66.581,402,31,72,1,59000
60,train,-226.95499999999984,1000,18.674,2.681,318.6415,58.732,399,30,71,1,60000
61,train,-249.95999999999964,1000,21.009,2.658,409.4665,60.5955,402,28,68,1,61000
62,train,-241.9000000000001,1000,20.086,2.736,377.122,60.1025,398,31,72,1,62000
63,train,-307.1700000000001,1000,26.817,2.6,523.5805,54.45,408,29,70,1,63000
64,train,-328.5150000000002,1000,28.332,3.013,636.3035,75.865,396,29,76,1,64000
65,train,-267.60499999999973,1000,22.661,2.733,402.745,67.702,408,30,71,1,65000
66,train,-260.58499999999975,1000,20.861,3.465,398.424,79.517,408,30,77,1,66000
67,train,-229.27499999999964,1000,18.984,2.629,336.745,59.5895,405,32,69,1,67000
68,train,-276.6999999999997,1000,22.414,3.504,391.771,85.297,381,30,76,1,68000
69,train,-251.28500000000022,1000,20.318,3.207,395.2785,64.6535,390,30,74,1,69000
70,train,-211.85999999999945,1000,17.754,2.288,320.344,44.592,403,32,71,1,70000
71,train,-224.27999999999938,1000,18.369,2.706,317.2985,53.929,392,31,72,1,71000
72,train,-237.70499999999998,1000,20.385,2.257,373.678,46.956,388,33,71,1,72000
73,train,-260.4749999999995,1000,21.057,3.327,415.787,91.95,399,31,71,1,73000
74,train,-281.09499999999946,1000,23.686,2.949,450.7725,63.508,395,31,76,1,74000
75,train,-251.7700000000001,1000,21.364,2.542,403.13,52.4335,392,30,72,1,75000
76,train,-280.7950000000003,1000,23.041,3.359,477.426,82.803,405,31,73,1,76000
77,train,-293.38499999999965,1000,25.002,2.891,449.9115,66.051,391,32,71,1,77000
78,train,-267.54,1000,22.827,2.618,454.708,55.227,393,32,73,1,78000
79,train,-226.43000000000035,1000,18.707,2.624,330.8955,63.492,399,32,72,1,79000
80,train,-365.5549999999999,1000,32.987,2.379,825.6735,55.049,387,31,54,1,80000
81,train,-283.66499999999985,1000,24.252,2.743,481.053,58.1325,401,30,67,1,81000
82,train,-267.355,1000,21.847,3.259,417.7275,82.4825,408,31,76,1,82000
83,train,-299.8649999999993,1000,24.981,3.337,457.6245,77.3515,396,30,79,1,83000
84,train,-290.204999999999,1000,24.006,3.343,467.9645,80.6945,398,29,75,1,84000
85,train,-277.2900000000001,1000,23.25,2.986,406.4485,61.362,395,31,76,1,85000
86,train,-260.06999999999954,1000,21.0,3.338,384.7975,76.873,404,28,76,1,86000
87,train,-288.79500000000013,1000,23.076,3.869,418.017,92.49,397,30,81,1,87000
88,train,-252.00000000000026,1000,22.374,1.884,429.2005,36.7215,408,31,68,1,88000
89,train,-219.3850000000001,1000,17.755,2.789,305.812,57.572,409,30,70,1,89000
90,train,-270.8249999999994,1000,22.53,3.035,462.2525,77.954,406,30,66,1,90000
91,train,-233.80500000000006,1000,18.474,3.271,335.0975,82.5485,403,32,71,1,91000
92,train,-231.2600000000002,1000,19.481,2.43,361.3165,51.1075,395,32,71,1,92000
93,train,-289.0050000000001,1000,23.946,3.303,497.5545,68.8075,398,31,75,1,93000
94,train,-243.50499999999982,1000,19.27,3.387,337.001,70.8875,396,30,82,1,94000
95,train,-251.1600000000003,1000,20.757,2.906,391.658,66.951,403,32,73,1,95000
96,train,-249.40500000000026,1000,20.442,2.999,362.8405,68.6235,403,30,70,1,96000
97,train,-264.9899999999999,1000,22.305,2.796,411.08,71.37,398,29,71,1,97000
98,train,-241.2099999999998,1000,19.855,2.844,367.0745,63.036,404,28,70,1,98000
99,train,-263.6700000000006,1000,21.27,3.398,400.9005,74.0895,388,31,74,1,99000
100,train,-342.23000000000025,1000,29.189,3.356,641.992,81.632,394,27,78,1,100000
101,train,-242.26000000000033,1000,19.6,3.084,348.297,61.62,406,34,78,1,101000
102,train,-219.37999999999974,1000,17.375,3.042,314.211,69.1005,399,28,67,1,102000
103,train,-241.78499999999977,1000,19.755,2.949,366.0095,67.863,406,30,71,1,103000
104,train,-242.32999999999964,1000,19.985,2.832,352.9065,65.498,397,30,70,1,104000
105,train,-294.61999999999995,1000,24.74,3.148,464.0385,90.7835,400,30,67,1,105000
106,train,-276.6599999999995,1000,23.355,2.874,452.2805,86.025,389,33,72,1,106000
107,train,-220.22000000000006,1000,17.888,2.756,308.1115,61.9105,397,33,71,1,107000
108,train,-217.81500000000023,1000,17.292,2.993,301.184,62.3075,406,29,76,1,108000
109,train,-286.6599999999993,1000,24.151,3.01,529.4595,79.711,399,30,66,1,109000
110,train,-336.40499999999975,1000,29.349,2.861,635.8345,73.7655,384,33,67,1,110000
111,train,-215.69999999999973,1000,18.423,2.098,354.7215,37.166,406,33,66,1,111000
112,train,-340.15,1000,31.063,1.968,770.541,35.62,382,32,58,1,112000
113,train,-255.66499999999985,1000,21.401,2.777,394.6445,55.352,399,31,70,1,113000
114,train,-213.46500000000015,1000,16.767,3.053,293.2,66.117,403,28,69,1,114000
115,train,-258.0950000000002,1000,21.839,2.647,415.0925,52.8455,395,30,71,1,115000
116,train,-245.20499999999973,1000,20.535,2.657,377.55,56.0035,402,33,70,1,116000
117,train,-204.76499999999996,1000,16.032,2.963,296.9455,64.203,403,30,71,1,117000
118,train,-256.4599999999999,1000,21.461,2.79,430.8165,62.637,403,30,71,1,118000
119,train,-229.99999999999974,1000,18.995,2.67,343.7655,57.8495,397,30,71,1,119000
120,train,-253.2899999999997,1000,20.088,3.494,352.164,84.795,404,30,76,1,120000
121,train,-245.5350000000002,1000,20.088,2.977,376.9275,80.5665,409,33,66,1,121000
122,train,-263.6449999999993,1000,21.929,2.957,409.478,66.881,399,32,77,1,122000
123,train,-226.26499999999962,1000,17.906,3.147,313.746,76.581,406,30,78,1,123000
124,train,-208.93000000000018,1000,16.621,2.848,302.6825,60.9815,406,31,66,1,124000
125,train,-247.22999999999982,1000,20.376,2.898,367.583,66.2675,397,31,73,1,125000
126,train,-246.9550000000002,1000,20.884,2.541,384.203,50.062,405,29,71,1,126000
127,train,-246.7050000000001,1000,20.598,2.715,370.5125,68.2205,406,33,66,1,127000
128,train,-279.36500000000046,1000,23.438,2.999,429.231,74.1925,390,30,68,1,128000
129,train,-233.60999999999984,1000,19.191,2.78,350.5265,66.1315,403,29,71,1,129000
130,train,-221.245,1000,16.759,3.577,288.453,100.881,404,31,76,1,130000
131,train,-250.6650000000002,1000,20.562,3.003,395.271,69.332,397,30,72,1,131000
132,train,-240.2949999999999,1000,19.51,3.013,342.6685,73.3185,399,29,70,1,132000
133,train,-237.03499999999954,1000,19.448,2.837,379.7435,81.815,396,31,66,1,133000
134,train,-223.02999999999986,1000,18.07,2.822,308.1445,67.9685,407,31,71,1,134000
135,train,-271.5700000000003,1000,22.747,2.94,443.108,74.088,405,27,66,1,135000
136,train,-279.0249999999996,1000,23.932,2.647,463.5705,53.163,401,32,65,1,136000
137,train,-226.9650000000002,1000,18.855,2.561,339.5075,51.4535,400,31,67,1,137000
138,train,-257.48500000000035,1000,20.914,3.223,384.689,89.7945,405,33,70,1,138000
139,train,-263.8199999999997,1000,22.536,2.564,466.4385,74.8585,405,31,66,1,139000
140,train,-269.815,1000,21.853,3.419,385.177,74.5995,406,30,80,1,140000
141,train,-260.12000000000006,1000,22.397,2.41,442.032,44.3385,391,30,71,1,141000
142,train,-248.14499999999987,1000,20.187,3.085,382.792,68.8045,392,30,72,1,142000
143,train,-278.34500000000014,1000,23.06,3.183,431.167,76.7935,393,29,68,1,143000
144,train,-220.48500000000024,1000,17.907,2.761,317.317,58.427,400,32,70,1,144000
145,train,-269.2100000000002,1000,23.132,2.526,431.2375,63.7335,403,31,66,1,145000
146,train,-243.37500000000028,1000,20.388,2.633,373.2385,62.007,404,31,66,1,146000
147,train,-198.19499999999994,1000,14.619,3.467,236.829,81.4945,410,29,77,1,147000
148,train,-205.92500000000015,1000,15.086,3.671,243.3995,84.168,406,29,76,1,148000
149,train,-244.44500000000014,1000,19.562,3.255,376.9455,75.32,402,30,70,1,149000
150,train,-256.0,1000,21.091,3.006,381.931,66.47,404,32,70,1,150000
151,train,-223.35500000000002,1000,17.69,3.097,324.8995,69.4995,400,30,67,1,151000
152,train,-222.5599999999998,1000,17.678,3.052,326.895,77.349,406,28,66,1,152000
153,train,-276.94499999999954,1000,22.665,3.353,412.9765,79.052,392,31,72,1,153000
154,train,-253.20000000000067,1000,21.279,2.694,439.322,61.6085,405,33,66,1,154000
155,train,-234.99500000000012,1000,18.407,3.395,339.508,77.6675,399,29,71,1,155000
156,train,-242.5900000000008,1000,19.861,2.932,366.8915,63.966,403,33,71,1,156000
157,train,-344.8399999999996,1000,30.602,2.588,704.4705,54.0925,384,32,68,1,157000
158,train,-251.08999999999997,1000,21.398,2.474,404.48,49.3545,398,33,73,1,158000
159,train,-261.2699999999998,1000,21.438,3.126,411.402,71.841,383,29,68,1,159000
160,train,-240.44500000000008,1000,19.333,3.141,350.393,77.7865,399,29,68,1,160000
161,train,-284.5449999999999,1000,23.449,3.337,464.2495,80.977,397,30,70,1,161000
162,train,-303.1199999999999,1000,25.218,3.396,457.793,78.132,402,30,76,1,162000
163,train,-235.67500000000027,1000,18.673,3.263,333.128,69.987,406,27,75,1,163000
164,train,-236.57500000000007,1000,19.645,2.675,369.9065,56.361,403,30,66,1,164000
165,train,-252.31000000000023,1000,21.106,2.75,415.5055,57.256,407,31,66,1,165000
166,train,-219.41000000000045,1000,16.64,3.534,290.8045,82.286,400,32,77,1,166000
167,train,-260.9549999999998,1000,22.968,2.085,432.464,42.0415,397,34,66,1,167000
168,train,-246.76999999999924,1000,20.426,2.834,386.3595,58.537,391,30,70,1,168000
169,train,-223.78000000000023,1000,18.055,2.882,329.94,63.837,403,29,67,1,169000
170,train,-314.06999999999965,1000,26.517,3.26,637.484,71.8935,396,27,81,1,170000
171,train,-324.5050000000003,1000,28.564,2.591,590.2745,59.2715,397,30,66,1,171000
172,train,-253.40500000000003,1000,20.698,3.095,367.393,63.4175,394,30,76,1,172000
173,train,-234.65000000000003,1000,18.176,3.526,335.547,97.3165,406,32,66,1,173000
174,train,-212.98999999999978,1000,17.195,2.736,299.5445,65.4505,405,28,66,1,174000
175,train,-222.77999999999983,1000,17.913,2.91,337.521,70.0415,409,32,70,1,175000
176,train,-206.09000000000017,1000,16.355,2.836,260.1465,60.83,402,33,76,1,176000
177,train,-241.61000000000038,1000,19.301,3.24,338.4515,75.579,402,27,75,1,177000
178,train,-251.82999999999973,1000,20.794,2.926,391.4545,59.592,400,31,72,1,178000
179,train,-251.11999999999986,1000,21.164,2.632,397.6815,60.477,392,29,65,1,179000
180,train,-308.0299999999997,1000,26.48,2.882,543.943,60.3855,388,31,71,1,180000
181,train,-227.5550000000005,1000,18.599,2.771,361.949,71.4895,395,31,66,1,181000
182,train,-226.1350000000002,1000,17.53,3.389,295.9645,74.8045,400,29,73,1,182000
183,train,-266.1999999999999,1000,22.276,2.896,444.0345,61.549,396,35,66,1,183000
184,train,-247.94499999999962,1000,20.563,2.821,400.3485,65.232,405,30,71,1,184000
185,train,-240.08500000000012,1000,19.039,3.313,362.947,102.092,402,29,66,1,185000
186,train,-261.21500000000015,1000,22.097,2.683,407.456,68.683,408,31,66,1,186000
187,train,-241.79500000000039,1000,20.698,2.321,405.441,46.1965,400,30,66,1,187000
188,train,-241.26499999999936,1000,20.018,2.739,369.2505,68.8885,401,32,70,1,188000
189,train,-248.94500000000028,1000,19.883,3.341,378.483,80.369,395,31,74,1,189000
190,train,-232.0099999999997,1000,18.704,2.998,333.5385,71.584,398,31,72,1,190000
191,train,-259.58500000000043,1000,21.421,3.025,385.285,62.19,397,31,78,1,191000
192,train,-249.16500000000016,1000,20.679,2.825,398.0645,67.6875,382,29,66,1,192000
193,train,-248.97000000000025,1000,20.388,3.006,365.406,64.545,405,31,76,1,193000
194,train,-208.19000000000023,1000,16.838,2.654,290.0995,56.327,401,29,77,1,194000
195,train,-231.4850000000001,1000,19.304,2.563,345.783,58.8705,392,32,67,1,195000
196,train,-267.9,1000,21.879,3.274,387.4315,84.615,401,28,76,1,196000
197,train,-252.10000000000048,1000,20.68,3.02,393.473,94.58,394,30,66,1,197000
198,train,-237.96000000000024,1000,18.771,3.35,340.893,75.5035,392,29,74,1,198000
199,train,-250.5900000000008,1000,20.7,2.906,409.3995,67.278,411,32,70,1,199000
200,eval,-260.1449999999997,1000,20.982,3.355,390.7835,101.2665,400,31,66,1,200000
