hp_LEARNING_RATE,hp_GAMMA,hp_BATCH_SIZE,hp_TAU,loss,episode_reward,training_iteration,avg_env_step_ms,avg_train_step_ms,gpu_time,trial_name,trial_wall_time_s
1.1118735094077367e-06,0.9925540751828525,256,0.001032476628604642,1.7608400583267212,-467.7000000000003,20,165.2119660001481,112.72784199903253,0.0,dc9bdb73,
4.035476660689156e-05,0.9837391916612921,256,0.0010619344897702457,1.7911624908447266,-409.9400000000014,2,166.82608730206266,126.86726770107634,0.0,89f8c334,
2.0935007720920735e-06,0.9959816587231185,128,0.0012892995241201295,1.7763241529464722,-373.5450000000014,2,163.86286239745095,127.09307139820886,0.0,77c94980,
1.691363867965665e-06,0.9856278878901821,128,0.004206205991680469,1.897093415260315,-391.4799999999994,2,165.34520630014595,127.63490489928516,0.0,eb0f3ce6,
3.610475157293776e-05,0.9873650513633827,256,0.0019026726930777003,0.9437868595123291,-405.9499999999997,20,163.0829048018204,111.42672129883431,0.0,4edcb649,
1.4619604784513637e-06,0.99686373541311,128,0.004155717921374997,1.8727943897247314,-385.8449999999999,2,163.2508172999369,129.1467160996981,0.0,c0e91664,
1.5269097505713728e-05,0.9897792796631423,128,0.000703908016863118,1.859520673751831,-371.53999999999996,4,166.7363840007456,129.31764030014165,0.0,a5140321,
6.580338228826449e-06,0.9868588896825852,128,0.002251162679010802,1.9064152240753174,-556.0899999999993,2,190.44712269946467,129.96547759789973,0.0,f96da08c,
2.8424237555834884e-05,0.9885172444762219,256,0.0008199162574728009,1.525182843208313,-441.08499999999947,4,159.16952319839038,112.7331349015003,0.0,720e0b7c,
9.568677657235836e-05,0.9893878574622388,128,0.000773897501211858,2.225022315979004,-595.3599999999983,2,191.73040889843833,131.11587790038902,0.0,c7d730cc,
2.0343695990012196e-06,0.9918287003987831,128,0.0025710354721211297,2.4741854667663574,-428.9499999999992,2,166.99434979748912,126.80668509937823,0.0,628969d5,
6.313894091730511e-06,0.9951071188813307,256,0.00400837960043917,1.5125412940979004,-362.0849999999993,8,165.23132649739273,116.12215820152778,0.0,4fc8c09c,
1.8604919965752076e-05,0.9946303141623748,256,0.00429693211315408,1.4683587551116943,-388.4650000000003,4,163.99698800081387,111.7324648994254,0.0,866f49e4,
8.83723292552234e-06,0.9920970886214124,128,0.004726766140118955,2.4597537517547607,-417.98,2,165.35847569978796,116.45437629928347,0.0,a1196f12,
5.5614746021287416e-05,0.9936801789734989,128,0.0006663866625217926,2.18852162361145,-424.05999999999847,2,160.3452977995621,114.25495060079265,0.0,85298c57,
5.986651405670023e-06,0.9967133055895134,256,0.0006433791487245149,2.1734890937805176,-433.18499999999943,4,168.9285533996299,113.05438019894063,0.0,4c244293,
