episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
70,train,-284.27499999999964,1000,24.04,2.925,566.848,79.298,399,29,50,1,70000
71,train,-324.42999999999995,1000,28.84,2.402,724.9065,58.7635,377,33,54,1,71000
72,train,-301.9300000000006,1000,26.197,2.664,553.126,67.065,401,30,55,1,72000
73,train,-329.8050000000009,1000,29.88,2.067,763.469,49.887,391,30,52,1,73000
74,train,-320.63000000000034,1000,28.379,2.456,656.6635,63.51,396,30,50,1,74000
75,train,-321.06000000000074,1000,28.956,2.1,697.033,51.634,391,30,52,1,75000
76,train,-310.4399999999995,1000,27.639,2.27,663.819,55.776,400,31,50,1,76000
77,train,-349.18999999999943,1000,31.151,2.512,790.7485,76.9165,392,33,55,1,77000
78,train,-349.8849999999998,1000,30.394,3.063,743.9935,94.5995,382,33,56,1,78000
79,train,-323.3649999999996,1000,29.107,2.153,742.2095,53.5285,400,32,50,1,79000
80,train,-288.7499999999994,1000,25.566,2.206,618.108,55.419,397,32,50,1,80000
81,train,-292.69499999999977,1000,26.004,2.177,638.189,56.7035,388,30,51,1,81000
82,train,-311.76999999999987,1000,27.415,2.508,598.513,66.3345,387,32,54,1,82000
83,train,-318.62500000000045,1000,28.579,2.189,662.741,55.6885,389,32,52,1,83000
84,train,-322.23500000000024,1000,27.767,2.971,584.015,72.035,402,29,60,1,84000
85,train,-306.4550000000003,1000,26.981,2.443,655.623,60.9405,385,30,54,1,85000
86,train,-288.34500000000014,1000,25.395,2.293,619.4485,58.4355,393,31,52,1,86000
87,train,-314.20999999999947,1000,27.077,2.896,609.1555,75.647,392,31,57,1,87000
88,train,-385.8250000000005,1000,34.039,3.029,777.057,78.187,394,29,57,1,88000
89,train,-327.9199999999996,1000,28.991,2.534,660.892,66.5335,394,32,55,1,89000
90,train,-295.57000000000033,1000,26.089,2.312,637.1795,58.209,394,31,52,1,90000
91,train,-276.82500000000033,1000,24.588,2.063,592.227,49.2595,395,33,51,1,91000
92,train,-300.5949999999999,1000,26.443,2.411,627.81,65.245,391,30,52,1,92000
93,train,-311.7049999999998,1000,27.674,2.331,659.31,66.2735,394,33,51,1,93000
94,train,-312.20499999999964,1000,27.166,2.703,610.1425,70.8135,386,31,53,1,94000
95,train,-319.9900000000006,1000,28.111,2.592,681.372,68.5235,398,30,50,1,95000
96,train,-292.96000000000004,1000,25.711,2.39,541.381,62.578,393,32,55,1,96000
97,train,-312.6599999999991,1000,26.298,3.312,556.1115,85.5765,378,30,55,1,97000
98,train,-310.10000000000014,1000,27.308,2.468,693.9735,60.9205,397,35,51,1,98000
99,train,-344.1649999999992,1000,30.365,2.701,709.8595,78.3805,392,31,55,1,99000
100,train,-343.0649999999997,1000,30.036,2.847,701.919,78.94,379,31,55,1,100000
101,train,-368.0049999999988,1000,32.401,2.933,754.559,78.2335,394,28,61,1,101000
102,train,-373.3600000000002,1000,32.536,3.2,758.2835,92.1895,390,31,60,1,102000
103,train,-293.3850000000006,1000,26.187,2.101,642.9525,49.688,392,32,52,1,103000
104,train,-299.34500000000014,1000,26.684,2.167,649.733,54.7215,402,31,51,1,104000
105,train,-364.5999999999996,1000,32.059,2.934,732.6045,80.082,382,30,60,1,105000
106,train,-315.85500000000025,1000,27.888,2.465,666.9085,64.555,399,30,54,1,106000
107,train,-341.535,1000,30.681,2.315,749.692,56.057,383,34,55,1,107000
108,train,-304.16500000000025,1000,27.412,2.003,660.3085,47.7245,393,30,51,1,108000
109,train,-296.9049999999996,1000,26.293,2.265,578.091,55.811,395,34,51,1,109000
110,train,-302.16999999999996,1000,26.824,2.262,666.8905,55.4225,398,32,51,1,110000
111,train,-302.85500000000064,1000,26.798,2.325,643.8455,57.8145,391,31,52,1,111000
112,train,-312.83000000000004,1000,26.813,2.98,607.567,85.1765,387,30,55,1,112000
113,train,-308.4700000000004,1000,27.472,2.25,690.147,54.967,391,31,52,1,113000
114,train,-320.93000000000006,1000,28.553,2.36,701.9245,58.4285,400,31,50,1,114000
