step,phase,action,vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step,reward
118,1,,12,8,215.0,142.5,0,0,-0.24
119,1,,12,8,221.0,146.5,0,0,-0.24
120,1,,12,8,227.0,150.5,0,0,-0.24
121,1,,12,8,233.0,154.5,0,0,-0.24
122,1,,12,8,239.0,158.5,0,0,-0.24
123,1,,12,8,245.0,162.5,0,0,-0.24
124,1,,12,8,251.0,166.5,0,0,-0.24
125,1,,12,8,257.0,170.5,0,0,-0.24
126,1,,12,8,263.0,174.5,0,0,-0.24
127,1,,12,8,269.0,178.5,0,0,-0.24
128,1,,12,8,275.0,182.5,0,0,-0.24
129,1,,12,8,281.0,186.5,0,0,-0.24
130,1,,12,8,287.0,190.5,0,0,-0.24
131,1,,12,8,293.0,194.5,0,0,-0.24
132,1,,12,8,299.0,198.5,0,0,-0.24
133,1,,12,8,305.0,202.5,0,0,-0.24
134,1,,14,8,314.0,206.5,0,0,-0.26
135,1,,14,8,321.0,210.5,0,0,-0.26
136,1,,14,8,328.0,214.5,0,0,-0.26
137,1,,14,8,335.0,218.5,0,0,-0.26
138,1,,14,8,342.0,222.5,0,0,-0.26
139,2,,14,8,349.0,226.5,0,0,-0.26
140,2,,14,8,356.0,230.5,0,0,-0.26
141,2,,14,8,363.0,234.5,0,0,-0.26
142,2,,14,8,370.0,238.5,0,0,-0.26
143,2,,14,8,377.0,242.5,0,0,-0.26
144,2,,14,8,384.0,246.5,0,0,-0.26
145,2,,14,8,391.0,250.5,0,0,-0.26
146,2,,14,8,398.0,254.5,0,0,-0.26
147,2,,14,8,405.0,258.5,0,0,-0.26
148,2,,14,8,412.0,262.5,2,0,-0.26
149,2,,14,8,419.0,266.5,0,0,-0.26
150,2,,14,8,426.0,270.5,0,0,-0.26
151,3,,13,8,366.5,274.5,2,0,-0.25
152,3,,12,8,371.0,278.5,0,0,-0.24
153,3,,12,8,377.0,282.5,0,0,-0.24
154,3,,12,8,383.0,286.5,0,0,-0.24
155,3,,13,8,390.5,290.5,0,0,-0.25
156,3,,15,8,400.0,294.5,0,0,-0.27
157,3,,15,8,407.5,298.5,0,0,-0.27
158,3,,15,8,415.0,302.5,0,0,-0.27
159,3,,16,8,424.0,306.5,2,0,-0.28
160,3,,18,8,435.0,310.5,0,0,-0.3
161,3,,20,8,447.0,314.5,0,0,-0.32
162,3,,21,8,458.5,318.5,0,0,-0.32999999999999996
163,3,,21,8,469.0,322.5,0,0,-0.32999999999999996
164,3,,28,8,490.0,326.5,0,0,-0.4
165,3,,28,8,504.0,330.5,0,0,-0.4
166,3,,28,8,518.0,334.5,0,0,-0.4
167,3,,28,8,532.0,338.5,0,0,-0.4
168,3,,29,8,547.5,342.5,0,0,-0.41
169,3,,30,8,563.5,346.5,0,0,-0.42
170,3,,30,8,578.5,350.5,1,0,-0.42
171,3,,30,8,593.5,354.5,0,0,-0.42
172,3,,29,8,603.0,358.5,0,0,-0.41
173,3,,29,8,613.0,362.5,0,0,-0.41
174,3,,29,8,627.5,366.5,0,0,-0.41
175,3,,30,8,638.0,370.5,0,0,-0.42
176,3,,32,8,656.0,374.5,0,0,-0.44
177,3,,33,8,673.5,378.5,0,0,-0.45
178,3,,32,8,677.0,382.5,0,0,-0.44
179,3,,31,8,682.0,386.5,0,0,-0.43
180,3,,31,8,697.5,390.5,1,0,-0.43
181,3,,31,8,713.0,394.5,0,0,-0.43
182,3,,31,8,728.5,398.5,0,0,-0.43
183,3,,32,8,745.5,402.5,0,0,-0.44
184,3,,32,8,761.5,406.5,0,0,-0.44
185,3,,33,8,779.0,410.5,0,0,-0.45
186,3,,36,8,800.0,414.5,1,0,-0.48
187,3,,38,8,805.5,418.5,0,0,-0.5
188,3,,38,8,811.0,422.5,0,0,-0.5
189,3,,37,8,828.0,426.5,0,0,-0.49
190,3,,40,8,851.0,430.5,0,0,-0.52
191,3,,41,8,872.5,434.5,1,0,-0.53
192,3,,42,8,894.5,438.5,0,0,-0.54
193,3,,42,8,915.5,442.5,0,0,-0.54
194,3,,42,8,936.5,446.5,0,0,-0.54
195,3,,43,8,959.0,450.5,0,0,-0.55
196,3,,45,8,983.5,454.5,0,0,-0.5700000000000001
197,3,,46,8,1007.5,458.5,0,0,-0.5800000000000001
198,3,,47,8,1011.0,462.5,0,0,-0.59
199,3,,48,8,1017.0,466.5,0,0,-0.6
200,3,,48,8,1040.0,470.5,1,0,-0.6
201,3,,49,8,1060.0,474.5,0,0,-0.61
202,3,,44,8,1044.0,478.5,0,0,-0.56
203,3,,44,8,1059.0,482.5,0,0,-0.56
204,3,,42,8,1072.5,486.5,0,0,-0.54
205,3,,42,8,1092.5,490.5,0,0,-0.54
206,3,,41,8,1111.5,494.5,0,0,-0.53
207,3,,42,8,1133.5,498.5,0,0,-0.54
208,3,,42,8,1154.5,502.5,0,0,-0.54
209,3,,44,8,1178.5,506.5,0,0,-0.56
210,3,,44,8,1200.5,510.5,0,0,-0.56
211,4,,44,8,1222.5,514.5,1,0,-0.56
212,4,,46,8,1247.5,518.5,0,0,-0.5800000000000001
213,4,,49,8,1275.0,522.5,0,0,-0.61
214,4,,49,8,1299.5,526.5,0,0,-0.61
215,4,,52,8,1328.5,530.5,0,0,-0.64
216,4,,53,8,1356.0,534.5,0,0,-0.65
217,4,,55,8,1385.5,538.5,0,0,-0.67
218,4,,57,8,1416.0,542.5,0,0,-0.69
219,4,,58,8,1446.0,546.5,1,0,-0.7
220,4,,59,8,1476.5,550.5,0,0,-0.71
221,4,,62,8,1510.5,554.5,0,0,-0.74
222,4,,62,8,1541.5,558.5,0,0,-0.74
223,5,,56,8,1225.5,562.5,0,0,-0.68
224,5,,54,8,1038.5,566.5,0,0,-0.66
225,5,,51,8,962.0,570.5,0,0,-0.63
226,5,,47,8,928.5,574.5,0,0,-0.59
227,5,,49,7,955.0,496.5,0,0,-0.595
228,5,,45,7,941.5,500.0,0,0,-0.555
229,5,,41,7,931.0,503.5,0,0,-0.515
230,5,,39,7,935.5,507.0,0,0,-0.495
231,5,,38,6,943.5,442.5,0,0,-0.47
232,5,,35,5,946.0,364.0,0,0,-0.425
233,5,,33,3,953.0,213.5,0,0,-0.375
234,5,,34,3,971.0,215.0,0,0,-0.385
235,5,,34,3,988.0,216.5,0,0,-0.385
236,5,,35,3,1006.5,218.0,1,0,-0.39499999999999996
237,5,,35,3,1024.0,219.5,0,0,-0.39499999999999996
238,5,,35,3,1041.5,221.0,0,0,-0.39499999999999996
239,5,,35,3,1059.0,222.5,0,0,-0.39499999999999996
240,5,,35,3,1076.5,224.0,2,0,-0.39499999999999996
241,5,,35,2,1094.0,148.5,0,0,-0.38
242,5,,35,2,1111.5,149.5,0,0,-0.38
243,5,,35,2,1129.0,150.5,1,0,-0.38
244,5,,35,2,1146.5,151.5,0,0,-0.38
245,5,,36,2,1165.5,152.5,0,0,-0.39
246,5,,36,2,1183.5,153.5,0,0,-0.39
247,5,,36,2,1201.5,154.5,0,0,-0.39
248,5,,36,2,1219.5,155.5,0,0,-0.39
249,5,,38,2,1240.5,156.5,0,0,-0.41000000000000003
250,5,,38,2,1259.5,157.5,0,0,-0.41000000000000003
251,5,,38,2,1278.5,158.5,0,0,-0.41000000000000003
252,5,,38,2,1297.5,159.5,0,0,-0.41000000000000003
253,5,,38,2,1316.5,160.5,0,0,-0.41000000000000003
254,5,,38,2,1335.5,161.5,0,0,-0.41000000000000003
255,5,,38,2,1354.5,162.5,0,0,-0.41000000000000003
256,5,,39,2,1375.0,163.5,2,0,-0.42000000000000004
257,5,,39,2,1394.5,164.5,0,0,-0.42000000000000004
258,5,,39,2,1414.0,165.5,0,0,-0.42000000000000004
259,5,,39,2,1433.5,166.5,0,0,-0.42000000000000004
260,5,,39,2,1453.0,167.5,0,0,-0.42000000000000004
261,5,,40,2,1474.0,168.5,0,0,-0.43000000000000005
262,5,,40,2,1494.0,169.5,0,0,-0.43000000000000005
263,5,,41,2,1515.5,170.5,0,0,-0.43999999999999995
264,5,,41,2,1536.0,171.5,0,0,-0.43999999999999995
265,5,,42,3,1558.0,174.0,0,0,-0.46499999999999997
266,5,,42,3,1579.0,175.5,0,0,-0.46499999999999997
267,5,,42,3,1600.0,177.0,0,0,-0.46499999999999997
268,5,,42,3,1621.0,178.5,0,0,-0.46499999999999997
269,5,,42,2,1642.0,176.5,0,0,-0.44999999999999996
270,5,,42,2,1663.0,177.5,0,0,-0.44999999999999996
271,5,,42,2,1684.0,178.5,0,0,-0.44999999999999996
272,5,,43,2,1706.5,179.5,0,0,-0.45999999999999996
273,6,,41,2,1530.0,180.5,0,0,-0.43999999999999995
