episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
0,train,-411.0900000000001,1000,33.42,5.126,1105.598,186.6305,386,26,35,1,0
1,train,-195.25500000000002,1000,14.373,3.435,211.531,68.4885,402,29,87,1,1000
2,train,-257.555,1000,20.153,3.735,339.4975,90.3245,402,30,85,1,2000
3,train,-225.75000000000003,1000,18.639,2.624,334.7355,54.439,406,32,77,1,3000
4,train,-214.49000000000038,1000,17.015,2.956,309.449,62.0265,400,32,73,1,4000
5,train,-285.55499999999967,1000,23.274,3.521,582.78,93.2535,406,33,74,1,5000
6,train,-337.7499999999997,1000,28.945,3.22,591.835,75.885,388,29,75,1,6000
7,train,-246.52500000000003,1000,21.129,2.349,403.8815,47.422,403,32,74,1,7000
8,train,-240.57499999999942,1000,19.562,2.997,354.4215,67.2035,404,30,77,1,8000
9,train,-261.1599999999998,1000,21.508,3.072,418.534,70.2065,394,31,69,1,9000
10,train,-251.83999999999995,1000,20.519,3.11,381.9775,71.5765,404,31,73,1,10000
11,train,-242.9200000000003,1000,19.714,3.052,359.4705,67.444,403,30,79,1,11000
12,train,-281.7999999999998,1000,24.034,2.764,459.0805,62.7935,398,32,73,1,12000
13,train,-236.7100000000005,1000,19.687,2.656,372.6815,61.422,403,30,77,1,13000
14,train,-254.47500000000014,1000,21.003,2.963,429.9545,69.775,403,29,77,1,14000
15,train,-236.37499999999946,1000,19.514,2.749,371.098,65.9165,405,31,74,1,15000
16,train,-265.3549999999996,1000,22.307,2.819,432.9525,59.306,391,31,70,1,16000
17,train,-259.24000000000063,1000,22.102,2.548,451.6035,60.387,393,28,70,1,17000
18,train,-289.45500000000044,1000,25.494,2.301,589.823,53.2915,391,30,66,1,18000
19,train,-240.4749999999996,1000,19.747,2.867,373.8795,69.8445,398,30,70,1,19000
20,train,-251.68499999999983,1000,21.357,2.541,419.1585,54.2555,402,30,68,1,20000
21,train,-258.68499999999995,1000,22.585,2.189,462.1705,44.2865,391,30,64,1,21000
22,train,-341.3399999999995,1000,30.699,2.29,740.6115,49.0785,380,32,67,1,22000
23,train,-335.52999999999935,1000,30.97,1.722,697.054,34.296,395,31,69,1,23000
24,train,-242.015,1000,21.053,2.099,432.93,44.4105,401,32,68,1,24000
25,train,-257.61500000000007,1000,21.404,2.905,407.5965,64.967,399,30,68,1,25000
26,train,-246.6199999999999,1000,20.375,2.858,374.3395,70.914,395,31,70,1,26000
27,train,-260.74000000000046,1000,22.465,2.406,413.335,48.2935,395,33,71,1,27000
28,train,-266.38999999999993,1000,22.505,2.756,440.7235,60.8155,387,30,71,1,28000
29,train,-264.95499999999925,1000,22.189,2.871,406.351,62.8085,391,31,72,1,29000
30,train,-229.65000000000015,1000,18.909,2.704,333.307,61.7995,400,30,72,1,30000
31,train,-231.44000000000005,1000,19.607,2.358,386.852,52.3,402,31,70,1,31000
32,train,-307.8949999999999,1000,26.069,3.147,670.9125,79.5605,380,30,72,1,32000
33,train,-272.77500000000026,1000,23.325,2.635,427.7655,55.354,403,30,72,1,33000
34,train,-247.25500000000036,1000,20.845,2.587,376.7525,48.8235,402,31,71,1,34000
35,train,-266.6799999999998,1000,22.987,2.454,408.2495,46.159,397,30,72,1,35000
36,train,-215.0200000000004,1000,17.842,2.44,322.472,51.6155,400,30,69,1,36000
37,train,-204.37999999999954,1000,16.838,2.4,289.491,52.2265,399,30,70,1,37000
38,train,-269.8450000000001,1000,22.954,2.687,411.3375,51.0835,403,31,74,1,38000
39,train,-290.9550000000003,1000,24.486,3.073,435.398,64.6975,401,30,74,1,39000
40,train,-230.6350000000001,1000,19.477,2.391,339.6645,67.008,402,33,71,1,40000
41,train,-252.5049999999995,1000,21.508,2.495,373.87,51.5315,402,32,75,1,41000
42,train,-304.4850000000005,1000,26.376,2.715,566.665,57.432,403,29,67,1,42000
43,train,-305.94000000000045,1000,27.081,2.342,525.6315,47.683,393,30,66,1,43000
44,train,-248.1800000000002,1000,20.948,2.58,398.6115,53.029,403,33,67,1,44000
45,train,-198.77499999999975,1000,16.645,2.155,291.2465,43.4145,407,30,66,1,45000
46,train,-244.03999999999934,1000,20.288,2.744,377.0215,57.438,406,33,69,1,46000
47,train,-317.37499999999983,1000,27.38,2.905,521.0885,60.6505,394,30,72,1,47000
48,train,-280.9049999999997,1000,25.32,1.847,521.9995,37.773,406,31,68,1,48000
