step,phase,action,vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step,reward
0,0,,0,0,0.0,0.0,0,0,-0.0
1,0,,0,0,0.0,0.0,0,0,-0.0
2,0,,0,0,0.0,0.0,0,0,-0.0
3,0,,0,0,0.0,0.0,0,0,-0.0
4,0,,0,0,0.0,0.0,0,0,-0.0
5,0,,0,0,0.0,0.0,0,0,-0.0
6,0,,0,0,0.0,0.0,0,0,-0.0
7,0,,0,0,0.0,0.0,0,0,-0.0
8,0,,0,0,0.0,0.0,0,0,-0.0
9,0,,0,0,0.0,0.0,0,0,-0.0
10,0,,0,0,0.0,0.0,0,0,-0.0
11,0,,0,0,0.0,0.0,0,0,-0.0
12,0,,0,0,0.0,0.0,0,0,-0.0
13,0,,0,0,0.0,0.0,0,0,-0.0
14,0,,0,0,0.0,0.0,0,0,-0.0
15,0,,0,0,0.0,0.0,0,0,-0.0
16,0,,0,0,0.0,0.0,0,0,-0.0
17,0,,0,0,0.0,0.0,0,0,-0.0
18,0,,0,0,0.0,0.0,0,0,-0.0
19,0,,0,0,0.0,0.0,0,0,-0.0
20,0,,0,0,0.0,0.0,0,0,-0.0
21,0,,0,0,0.0,0.0,0,0,-0.0
22,0,,0,0,0.0,0.0,0,0,-0.0
23,0,,0,0,0.0,0.0,0,0,-0.0
24,0,,0,0,0.0,0.0,0,0,-0.0
25,0,,0,0,0.0,0.0,0,0,-0.0
26,0,,0,0,0.0,0.0,0,0,-0.0
27,0,,0,0,0.0,0.0,0,0,-0.0
28,0,,0,0,0.0,0.0,0,0,-0.0
29,0,,0,0,0.0,0.0,0,0,-0.0
30,0,,0,0,0.0,0.0,0,0,-0.0
31,0,,0,0,0.0,0.0,0,0,-0.0
32,0,,0,0,0.0,0.0,0,0,-0.0
33,0,,0,0,0.0,0.0,0,0,-0.0
34,0,,0,0,0.0,0.0,0,0,-0.0
35,0,,0,0,0.0,0.0,0,0,-0.0
36,0,,0,0,0.0,0.0,0,0,-0.0
37,0,,0,0,0.0,0.0,0,0,-0.0
38,0,,0,0,0.0,0.0,0,0,-0.0
39,0,,0,0,0.0,0.0,0,0,-0.0
40,0,,0,0,0.0,0.0,0,0,-0.0
41,0,,0,0,0.0,0.0,0,0,-0.0
42,0,,0,0,0.0,0.0,0,0,-0.0
43,0,,0,0,0.0,0.0,0,0,-0.0
44,0,,0,0,0.0,0.0,0,0,-0.0
45,0,,0,0,0.0,0.0,0,0,-0.0
46,0,,0,0,0.0,0.0,0,0,-0.0
47,0,,0,0,0.0,0.0,0,0,-0.0
48,0,,0,0,0.0,0.0,0,0,-0.0
49,1,,0,0,0.0,0.0,0,0,-0.0
50,1,,0,0,0.0,0.0,0,0,-0.0
51,1,,0,0,0.0,0.0,0,0,-0.0
52,1,,0,0,0.0,0.0,0,0,-0.0
53,1,,0,0,0.0,0.0,0,0,-0.0
54,1,,0,0,0.0,0.0,0,0,-0.0
55,1,,0,0,0.0,0.0,0,0,-0.0
56,1,,0,0,0.0,0.0,0,0,-0.0
57,1,,0,0,0.0,0.0,0,0,-0.0
58,1,,0,0,0.0,0.0,0,0,-0.0
59,1,,0,0,0.0,0.0,0,0,-0.0
60,1,,0,0,0.0,0.0,0,0,-0.0
61,1,,0,0,0.0,0.0,0,0,-0.0
62,1,,0,0,0.0,0.0,0,0,-0.0
63,1,,0,0,0.0,0.0,0,0,-0.0
64,1,,0,0,0.0,0.0,0,0,-0.0
65,1,,0,0,0.0,0.0,0,0,-0.0
66,1,,0,0,0.0,0.0,0,0,-0.0
67,1,,0,0,0.0,0.0,0,0,-0.0
68,1,,0,0,0.0,0.0,0,0,-0.0
69,1,,0,1,0.0,1.5,0,0,-0.015
70,1,,0,1,0.0,2.0,0,0,-0.015
71,1,,0,1,0.0,2.5,0,0,-0.015
72,1,,0,1,0.0,3.0,0,0,-0.015
73,1,,0,1,0.0,3.5,0,0,-0.015
74,1,,0,3,0.0,7.0,0,0,-0.045
75,1,,0,3,0.0,8.5,0,0,-0.045
76,1,,0,3,0.0,10.0,0,0,-0.045
77,1,,0,3,0.0,11.5,0,0,-0.045
78,1,,6,3,9.0,13.0,0,0,-0.105
79,1,,6,3,12.0,14.5,0,0,-0.105
80,1,,6,3,15.0,16.0,0,0,-0.105
81,1,,6,3,18.0,17.5,0,0,-0.105
82,1,,6,4,21.0,20.5,0,0,-0.12
83,1,,6,5,24.0,24.0,0,0,-0.135
84,1,,6,5,27.0,26.5,0,0,-0.135
85,1,,6,6,30.0,30.5,0,0,-0.15
86,1,,8,6,36.0,33.5,0,0,-0.16999999999999998
87,1,,8,5,40.0,34.0,0,0,-0.155
88,1,,8,5,44.0,36.5,0,0,-0.155
89,1,,10,5,51.0,39.0,0,0,-0.175
90,1,,10,6,56.0,43.0,0,0,-0.19
91,1,,10,6,61.0,46.0,0,0,-0.19
92,1,,10,6,66.0,49.0,0,0,-0.19
93,1,,10,6,71.0,52.0,0,0,-0.19
94,1,,10,7,76.0,56.5,0,0,-0.20500000000000002
95,1,,10,7,81.0,60.0,0,0,-0.20500000000000002
96,1,,10,7,86.0,63.5,0,0,-0.20500000000000002
97,1,,10,7,91.0,67.0,0,0,-0.20500000000000002
98,1,,10,7,96.0,70.5,0,0,-0.20500000000000002
99,1,,10,7,101.0,74.0,0,0,-0.20500000000000002
100,1,,10,8,106.0,79.0,0,0,-0.22
101,1,,11,8,112.5,83.0,0,0,-0.22999999999999998
102,1,,11,8,118.0,87.0,0,0,-0.22999999999999998
103,1,,12,8,125.0,91.0,0,0,-0.24
104,1,,12,8,131.0,95.0,0,0,-0.24
105,1,,12,8,137.0,99.0,0,0,-0.24
106,1,,12,8,143.0,103.0,0,0,-0.24
107,1,,12,8,149.0,107.0,0,0,-0.24
108,1,,12,8,155.0,111.0,0,0,-0.24
109,1,,12,8,161.0,115.0,0,0,-0.24
110,1,,12,8,167.0,119.0,0,0,-0.24
111,1,,12,8,173.0,123.0,0,0,-0.24
112,1,,12,8,179.0,127.0,0,0,-0.24
113,1,,12,8,185.0,131.0,0,0,-0.24
114,1,,13,8,192.5,135.0,0,0,-0.25
115,1,,13,8,199.0,139.0,0,0,-0.25
116,1,,13,8,205.5,143.0,0,0,-0.25
117,1,,13,8,212.0,147.0,0,0,-0.25
118,1,,13,8,218.5,151.0,0,0,-0.25
119,1,,13,8,225.0,155.0,0,0,-0.25
120,1,,14,8,233.0,159.0,0,0,-0.26
121,1,,14,8,240.0,163.0,0,0,-0.26
122,1,,14,8,247.0,167.0,0,0,-0.26
123,1,,14,8,254.0,171.0,0,0,-0.26
124,1,,15,8,262.5,175.0,0,0,-0.27
125,1,,15,8,270.0,179.0,0,0,-0.27
126,1,,15,8,277.5,183.0,0,0,-0.27
127,1,,15,8,285.0,187.0,0,0,-0.27
128,1,,15,8,292.5,191.0,0,0,-0.27
129,1,,15,8,300.0,195.0,0,0,-0.27
130,1,,15,8,307.5,199.0,0,0,-0.27
131,1,,15,8,315.0,203.0,0,0,-0.27
132,1,,15,8,322.5,207.0,0,0,-0.27
133,1,,15,8,330.0,211.0,0,0,-0.27
