episode_start_step,seed_0,seed_1,seed_2
40000,-230.6350000000001,-297.4700000000006,-204.3249999999999
41000,-252.5049999999995,-246.74500000000012,-319.1250000000001
42000,-304.4850000000005,-234.7199999999996,-341.2100000000001
43000,-305.94000000000045,-205.3699999999997,-255.98499999999984
44000,-248.1800000000002,-335.8750000000003,-272.97000000000014
45000,-198.77499999999972,-233.73,-309.9150000000004
46000,-244.0399999999993,-290.710000000001,-235.19500000000028
47000,-317.37499999999983,-276.8399999999997,-243.9200000000004
48000,-280.9049999999997,-313.17499999999984,-243.70999999999952
49000,-262.4400000000003,-258.2399999999994,-283.6850000000002
50000,-289.0200000000005,-284.5400000000007,-261.3550000000003
51000,-228.83000000000024,-207.6299999999996,-274.93999999999966
52000,-322.6899999999989,-217.22999999999996,-212.12499999999983
53000,-250.00499999999977,-237.1050000000002,-292.14500000000004
54000,-269.27000000000004,-220.72500000000025,-287.73500000000047
55000,-260.1300000000002,-300.90500000000054,-309.775000000001
56000,-232.71999999999997,-299.3100000000008,-280.8400000000004
57000,-341.50500000000045,-196.26500000000036,-303.3200000000005
58000,-209.76500000000004,-221.865,-254.5299999999997
59000,-255.8050000000001,-246.6749999999999,-213.29499999999965
60000,-242.85,-226.95499999999984,-222.7599999999998
61000,-205.78499999999957,-249.95999999999964,-299.92499999999967
62000,-354.2250000000001,-241.9000000000001,-285.82999999999987
63000,-269.1099999999998,-307.1700000000001,-279.275
64000,-307.18000000000086,-328.5150000000002,-228.13500000000028
65000,-204.15,-267.60499999999973,-229.21
66000,-209.8549999999996,-260.5849999999997,-297.07000000000056
67000,-336.6250000000002,-229.27499999999964,-303.37500000000085
68000,-358.27500000000015,-276.6999999999997,-248.2950000000004
69000,-240.04,-251.28500000000025,-281.54500000000013
70000,-209.32499999999973,-211.85999999999945,-398.9450000000001
71000,-236.97499999999985,-224.27999999999935,-238.06500000000028
72000,-334.0449999999996,-237.705,-224.3200000000004
73000,-321.6700000000002,-260.4749999999995,-239.96999999999989
74000,-211.26500000000016,-281.09499999999946,-225.4000000000001
75000,-193.40499999999915,-251.7700000000001,-245.48000000000025
76000,-263.48000000000025,-280.7950000000003,-210.79999999999976
77000,-243.76500000000055,-293.38499999999965,-239.07500000000027
78000,-274.2700000000001,-267.54,-222.41500000000028
79000,-233.35499999999973,-226.43000000000035,-215.77999999999972
80000,-286.51000000000045,-365.5549999999999,-268.06
81000,-226.60499999999985,-283.66499999999985,-272.18500000000006
82000,-258.4150000000004,-267.355,-265.3000000000002
83000,-231.9099999999993,-299.8649999999993,-244.66999999999948
84000,-244.77000000000004,-290.204999999999,-220.81999999999977
85000,-249.00499999999985,-277.2900000000001,-332.2550000000001
86000,-212.50999999999985,-260.06999999999954,-209.75499999999923
87000,-235.46499999999924,-288.79500000000013,-319.06500000000057
88000,-222.95499999999996,-252.00000000000023,-216.69000000000037
89000,-272.50999999999976,-219.3850000000001,-252.16999999999936
90000,-302.2749999999994,-270.8249999999994,-234.0850000000004
91000,-252.54999999999973,-233.8050000000001,-246.26000000000013
92000,-236.55500000000032,-231.2600000000002,-248.95500000000013
93000,-238.38000000000008,-289.0050000000001,-312.2700000000002
94000,-253.1450000000002,-243.50499999999985,-268.81999999999977
95000,-332.2499999999994,-251.1600000000003,-238.01499999999947
96000,-243.59000000000023,-249.40500000000023,-276.9249999999996
97000,-267.78000000000014,-264.9899999999999,-272.46000000000055
98000,-288.9900000000002,-241.2099999999998,-242.7550000000004
99000,-310.3300000000001,-263.6700000000006,-219.91499999999976
100000,-289.50999999999965,-342.23000000000025,-298.670000000001
101000,-204.89500000000032,-242.26000000000036,-345.9600000000002
102000,-258.47,-219.3799999999997,-293.9449999999998
103000,-254.5600000000006,-241.78499999999977,-222.21499999999943
104000,-328.56499999999966,-242.32999999999964,-218.84999999999937
105000,-275.3950000000003,-294.61999999999995,-266.21499999999963
106000,-239.2850000000004,-276.6599999999995,-226.255
107000,-226.4449999999996,-220.22000000000008,-299.14000000000044
108000,-249.5950000000001,-217.81500000000025,-215.90999999999968
109000,-275.4749999999998,-286.6599999999993,-224.7049999999996
110000,-244.19499999999923,-336.40499999999975,-244.5900000000005
111000,-261.6299999999996,-215.69999999999973,-239.1300000000001
112000,-298.86,-340.15,-234.0550000000001
113000,-328.2149999999995,-255.66499999999985,-236.83500000000004
114000,-269.0750000000006,-213.46500000000012,-279.3250000000008
115000,-250.95999999999995,-258.0950000000002,-230.92000000000004
116000,-260.6050000000009,-245.20499999999973,-222.64000000000024
117000,-244.1999999999996,-204.765,-206.71999999999983
118000,-285.3599999999998,-256.4599999999999,-243.42499999999976
119000,-262.23999999999984,-229.99999999999972,-286.7449999999995
120000,-248.6099999999999,-253.2899999999997,-248.08500000000032
121000,-267.23500000000024,-245.5350000000002,-230.8450000000006
122000,-217.0399999999993,-263.6449999999993,-220.94000000000025
123000,-270.81999999999994,-226.2649999999996,-238.90000000000015
124000,-252.345,-208.93000000000015,-253.81999999999957
125000,-247.85499999999973,-247.22999999999985,-258.4500000000001
126000,-280.1000000000001,-246.9550000000002,-225.0899999999999
127000,-255.11500000000035,-246.7050000000001,-251.43499999999952
128000,-255.13499999999945,-279.36500000000046,-230.64499999999992
129000,-267.92500000000024,-233.60999999999984,-255.34500000000008
130000,-282.7950000000001,-221.245,-263.0499999999999
131000,-231.39000000000036,-250.6650000000002,-278.0399999999995
132000,-250.1549999999999,-240.2949999999999,-260.9599999999994
133000,-221.83000000000067,-237.03499999999957,-244.7400000000008
134000,-272.9050000000006,-223.02999999999983,-251.5850000000003
135000,-270.18499999999995,-271.5700000000003,-232.6499999999996
136000,-234.7550000000001,-279.0249999999996,-239.59000000000003
137000,-208.31000000000003,-226.9650000000002,-227.58000000000013
138000,-207.3799999999999,-257.48500000000035,-321.6299999999999
139000,-225.8350000000001,-263.8199999999997,-263.95500000000004
140000,-247.2800000000005,-269.815,-279.7000000000003
141000,-218.7850000000003,-260.12000000000006,-236.48999999999992
142000,-233.12000000000063,-248.14499999999987,-219.79999999999976
143000,-247.36500000000007,-278.34500000000014,-276.4199999999995
144000,-290.78999999999945,-220.48500000000024,-289.9200000000005
145000,-236.1299999999994,-269.2100000000002,-273.88500000000016
146000,-233.77000000000004,-243.37500000000028,-245.735
147000,-227.71000000000015,-198.19499999999996,-236.92999999999984
148000,-198.80999999999943,-205.92500000000013,-300.9250000000004
149000,-249.55499999999964,-244.4450000000001,-233.4850000000006
150000,-213.85999999999973,-256.0,-268.00000000000017
151000,-266.1099999999999,-223.355,-310.56500000000005
152000,-231.25000000000009,-222.5599999999998,-207.84999999999977
153000,-251.68000000000015,-276.94499999999954,-274.02499999999924
154000,-247.26999999999973,-253.20000000000067,-208.0700000000003
155000,-273.48000000000064,-234.9950000000001,-203.38500000000013
156000,-308.70499999999925,-242.5900000000008,-264.9600000000001
157000,-235.47999999999985,-344.8399999999996,-320.02000000000004
158000,-227.58000000000047,-251.09,-221.95500000000007
159000,-305.78999999999974,-261.2699999999998,-279.0150000000001
160000,-238.0499999999997,-240.44500000000008,-286.1100000000006
161000,-269.9849999999998,-284.5449999999999,-286.4699999999999
162000,-235.0449999999993,-303.1199999999999,-346.4749999999999
163000,-264.4600000000001,-235.67500000000027,-267.6399999999995
164000,-289.35999999999973,-236.57500000000007,-228.41999999999985
165000,-194.58499999999952,-252.31000000000023,-275.4499999999993
166000,-246.05500000000012,-219.41000000000045,-250.1049999999996
167000,-212.5250000000001,-260.9549999999998,-226.03499999999988
168000,-290.18500000000006,-246.76999999999924,-258.94499999999914
169000,-219.52499999999924,-223.78000000000023,-246.03500000000017
170000,-252.83000000000015,-314.06999999999965,-272.4549999999998
171000,-299.595,-324.5050000000003,-241.54000000000028
172000,-270.62499999999966,-253.40500000000003,-233.605
173000,-210.47499999999943,-234.65000000000003,-228.1049999999998
174000,-221.0449999999998,-212.98999999999975,-208.4100000000003
175000,-242.44499999999945,-222.77999999999983,-219.56499999999943
176000,-274.5250000000003,-206.09000000000017,-195.29
177000,-284.0049999999994,-241.6100000000004,-304.89499999999964
178000,-248.2450000000001,-251.82999999999973,-216.43000000000023
179000,-211.1149999999992,-251.11999999999983,-238.8949999999999
180000,-235.99000000000015,-308.0299999999997,-307.9750000000001
181000,-286.6549999999999,-227.5550000000005,-219.64000000000016
182000,-242.20999999999984,-226.1350000000002,-217.5199999999999
183000,-241.28499999999977,-266.1999999999999,-273.1049999999999
184000,-232.63,-247.9449999999996,-258.16499999999934
185000,-244.33499999999975,-240.0850000000001,-217.11500000000007
186000,-284.8900000000001,-261.21500000000015,-231.74000000000007
187000,-209.72000000000037,-241.7950000000004,-218.52000000000032
188000,-269.23999999999955,-241.26499999999936,-213.70000000000013
189000,-288.0000000000009,-248.94500000000028,-215.00999999999968
190000,-204.9749999999999,-232.0099999999997,-196.9799999999998
191000,-268.09999999999985,-259.58500000000043,-243.4949999999996
192000,-238.2149999999997,-249.16500000000016,-220.7049999999998
193000,-221.41000000000068,-248.97000000000023,-205.73499999999945
194000,-246.18999999999983,-208.19000000000025,-209.0049999999997
195000,-228.6800000000005,-231.4850000000001,-216.47499999999997
196000,-230.26000000000047,-267.9,-216.5550000000001
197000,-220.28999999999996,-252.10000000000048,-215.62999999999963
198000,-224.28000000000029,-237.96000000000024,-215.60000000000065
199000,-237.96000000000043,-250.5900000000008,-237.5550000000001
200000,-294.82500000000016,-260.1449999999997,-228.5850000000004
201000,-249.565,-262.21999999999986,-234.99999999999957
202000,-355.30000000000047,-237.8599999999996,-231.4699999999998
203000,-232.3399999999997,-304.69999999999965,-213.8849999999999
204000,-219.93000000000015,-259.0449999999994,-245.4249999999997
205000,-274.99500000000023,-257.3500000000004,-198.6950000000001
206000,-231.89,-212.6149999999996,-202.92499999999984
207000,-235.44000000000028,-294.215,-211.98999999999936
208000,-228.4300000000001,-245.68999999999988,-201.21000000000035
209000,-212.76000000000028,-278.6499999999997,-218.67000000000004
210000,-212.8050000000004,-241.05000000000004,-230.42999999999932
211000,-417.18999999999926,-362.38999999999993,-224.4849999999992
212000,-299.4799999999999,-261.0749999999998,-276.6849999999997
213000,-221.00500000000065,-251.4550000000001,-217.705
214000,-210.44000000000008,-259.4649999999998,-230.9149999999996
215000,-280.30000000000047,-324.8049999999997,-218.38499999999985
216000,-408.7599999999998,-243.56999999999985,-198.6300000000005
217000,-238.76999999999984,-260.11,-219.8850000000002
218000,-271.7550000000002,-257.50500000000017,-244.3249999999992
219000,-242.91500000000065,-282.4799999999998,-230.2049999999996
220000,-272.8499999999995,-228.87499999999977,-300.16999999999973
221000,-229.9050000000003,-224.62499999999983,-295.2299999999998
222000,-198.45499999999964,-225.92000000000004,-246.99500000000023
223000,-413.7600000000007,-246.7850000000004,-286.51000000000005
224000,-308.91500000000013,-257.9250000000004,-211.71499999999995
225000,-326.5550000000001,-238.1299999999997,-268.2399999999996
226000,-231.5900000000003,-228.55500000000023,-246.34500000000017
227000,-306.9399999999997,-227.325,-311.0050000000006
228000,-232.09500000000003,-241.29500000000075,-256.2099999999998
229000,-229.96999999999903,-208.46999999999983,-249.20500000000044
230000,-217.6150000000005,-229.18499999999983,-270.37499999999994
231000,-268.88499999999976,-250.91500000000013,-244.9400000000004
232000,-200.575,-249.1849999999997,-262.0450000000004
233000,-196.985,-232.38000000000008,-289.28500000000014
234000,-209.95999999999992,-230.78500000000017,-259.8350000000001
235000,-203.9999999999999,-336.60500000000025,-226.46500000000023
236000,-212.1699999999992,-280.01999999999947,-212.88499999999988
237000,-249.36,-238.38000000000017,-215.48500000000064
238000,-201.78499999999983,-235.9000000000008,-229.1300000000004
239000,-301.76499999999953,-241.7000000000006,-256.0950000000001
240000,-241.64999999999907,-237.37999999999968,-221.18999999999943
241000,-226.9850000000006,-236.18500000000049,-389.1599999999999
242000,-217.47499999999957,-242.96000000000024,-229.74499999999932
243000,-214.68499999999955,-254.61499999999975,-277.7699999999999
244000,-255.885,-246.60500000000056,-254.6099999999996
245000,-229.2350000000002,-229.79,-229.105
246000,-238.785,-238.4400000000002,-204.82000000000016
247000,-223.08499999999975,-225.51999999999973,-232.2949999999998
248000,-204.9149999999996,-210.00999999999985,-224.3350000000002
249000,-235.2249999999997,-279.67000000000013,-215.1200000000001
