episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
0,train,-421.89499999999947,1000,34.013,5.451,1161.9515,214.964,385,24,35,1,0
1,train,-555.6550000000004,1000,44.014,7.701,2080.662,474.068,357,23,21,1,1000
2,train,-480.81500000000045,1000,38.279,6.535,1592.139,336.89,375,25,26,1,2000
3,train,-480.7899999999998,1000,41.884,4.13,1549.822,130.0265,359,31,31,1,3000
4,train,-435.11999999999983,1000,37.56,3.968,1336.883,121.566,380,29,34,1,4000
5,train,-402.2249999999999,1000,35.028,3.463,1109.5755,97.9785,370,31,36,1,5000
6,train,-407.1299999999997,1000,34.656,4.038,948.683,135.9755,383,31,47,1,6000
7,train,-416.4049999999997,1000,35.312,4.219,1113.445,141.5425,385,29,49,1,7000
8,train,-404.1999999999994,1000,34.87,3.7,973.1415,109.805,367,28,43,1,8000
9,train,-408.4299999999993,1000,34.123,4.48,852.8405,162.5655,389,28,52,1,9000
10,train,-358.0699999999999,1000,30.599,3.472,869.0735,109.5145,389,31,43,1,10000
11,train,-358.4749999999995,1000,28.811,4.691,738.7775,170.6045,382,27,47,1,11000
12,train,-363.9100000000005,1000,31.834,3.038,876.3195,87.325,389,31,49,1,12000
13,train,-348.4,1000,28.918,3.948,735.996,111.9155,396,29,45,1,13000
14,train,-386.6149999999991,1000,33.203,3.639,938.5015,97.9755,392,30,56,1,14000
15,train,-345.6700000000003,1000,29.617,3.3,778.266,100.0245,399,27,50,1,15000
16,train,-356.28499999999946,1000,30.893,3.157,904.9845,82.0555,391,31,55,1,16000
17,train,-342.29999999999905,1000,28.845,3.59,703.0865,97.956,387,28,52,1,17000
18,train,-332.54000000000065,1000,27.29,3.976,675.967,134.988,396,33,55,1,18000
19,train,-393.54499999999973,1000,33.98,3.583,799.4635,97.452,390,31,57,1,19000
20,train,-342.7750000000003,1000,29.335,3.295,703.1825,87.702,388,29,52,1,20000
21,train,-377.5700000000003,1000,32.705,3.368,883.149,80.9135,386,29,58,1,21000
22,train,-405.6100000000007,1000,35.947,3.076,937.45,81.9735,395,31,60,1,22000
23,train,-307.0050000000008,1000,26.118,3.055,641.8545,78.117,385,29,49,1,23000
24,train,-328.81500000000005,1000,29.061,2.547,739.6135,69.7835,398,31,51,1,24000
25,train,-333.18000000000006,1000,29.229,2.726,724.69,70.588,381,35,54,1,25000
26,train,-302.6300000000005,1000,26.138,2.75,620.5035,81.7455,393,31,55,1,26000
27,train,-326.03500000000014,1000,28.621,2.655,692.817,72.275,385,32,55,1,27000
28,train,-329.8100000000005,1000,28.604,2.918,659.7545,74.813,385,30,55,1,28000
29,train,-308.529999999999,1000,26.941,2.608,625.9215,68.6895,400,30,50,1,29000
30,train,-307.8800000000006,1000,26.408,2.92,655.354,80.639,394,29,50,1,30000
31,train,-302.5299999999997,1000,26.437,2.544,644.6595,64.2695,400,29,50,1,31000
32,train,-329.4149999999999,1000,29.334,2.405,716.0395,62.8875,396,31,50,1,32000
33,train,-320.98000000000053,1000,28.024,2.716,639.4785,73.3915,391,30,50,1,33000
34,train,-334.08999999999986,1000,29.854,2.37,713.2125,59.8685,384,31,55,1,34000
35,train,-337.8099999999988,1000,30.055,2.484,791.743,67.8695,396,30,50,1,35000
36,train,-314.4850000000004,1000,27.685,2.509,713.412,65.0535,401,31,50,1,36000
37,train,-323.9099999999996,1000,29.094,2.198,713.7815,58.0935,395,32,52,1,37000
38,train,-330.11499999999955,1000,28.999,2.675,627.0815,72.3085,389,29,53,1,38000
39,train,-340.39000000000044,1000,30.028,2.674,714.77,74.0625,392,29,52,1,39000
40,train,-325.275,1000,28.593,2.623,695.8695,68.7715,399,29,50,1,40000
41,train,-308.8050000000005,1000,27.243,2.425,612.293,64.8725,403,32,55,1,41000
42,train,-320.405,1000,28.169,2.581,685.6885,69.8275,400,30,50,1,42000
43,train,-296.53499999999974,1000,25.866,2.525,658.3135,66.561,401,32,50,1,43000
44,train,-359.57999999999953,1000,32.394,2.376,847.0985,58.118,389,29,52,1,44000
45,train,-398.0900000000006,1000,34.901,3.272,848.119,91.226,378,29,60,1,45000
46,train,-329.88999999999993,1000,28.615,2.916,690.3175,83.3455,386,27,52,1,46000
47,train,-279.99999999999983,1000,24.775,2.15,588.315,53.3115,386,33,50,1,47000
48,train,-353.6849999999998,1000,31.548,2.547,735.719,68.6645,390,31,53,1,48000
49,train,-326.0399999999994,1000,28.617,2.658,743.0965,77.4225,398,30,50,1,49000
50,train,-318.96500000000015,1000,28.085,2.541,703.5215,70.2055,399,31,50,1,50000
