episode,mode,cumulative_reward,avg_vehicle_queue,avg_ped_queue,avg_total_queue,avg_vehicle_wait,avg_ped_wait,avg_total_wait,vehicle_throughput,ped_throughput,switch_count,episode_ok
51,train,-7264.775000000011,35.1042,2.3455,37.4497,0.0,103.65845000000002,103.65845000000002,710,43,138,1
52,train,-6822.324999999797,31.1385,3.1892,34.3277,0.0,213.14525,213.14525,710,47,148,1
53,train,-7140.289999999851,33.052,3.087,36.139,0.0,171.35372,171.35372,689,47,145,1
54,train,-7020.859999999883,32.3387,2.8012,35.1399,0.0,127.29158000000001,127.29158000000001,701,47,176,1
55,train,-7192.419999999599,34.3149,2.4116,36.7265,0.0,113.56868999999999,113.56868999999999,689,45,141,1
56,train,-7077.099999999697,32.5504,2.8953,35.4457,0.0,148.6836,148.6836,696,46,152,1
57,train,-6855.754999999876,31.5884,2.7549,34.3433,0.0,150.67594000000003,150.67594000000003,728,46,178,1
58,train,-6968.424999999755,32.2427,2.6538,34.8965,0.0,156.67677,156.67677,720,48,161,1
59,train,-7367.709999999878,33.8919,3.7388,37.6307,0.0,338.20036,338.20036,720,40,174,1
60,train,-6805.729999999909,31.057,3.0464,34.1034,0.0,135.45047,135.45047,754,44,145,1
61,train,-6780.735000000075,30.7705,3.1521,33.9226,0.0,161.4377,161.4377,805,45,157,1
62,train,-7199.919999999838,33.9535,3.0857,37.0392,0.0,183.85637999999997,183.85637999999997,741,46,139,1
63,train,-6881.559999999727,31.9282,2.6513,34.5795,0.0,133.89657,133.89657,798,49,162,1
64,train,-7570.2750000001015,35.5584,5.0936,40.652,0.0,506.26685999999995,506.26685999999995,632,37,191,1
65,train,-7336.689999999772,34.4366,3.3334,37.77,0.0,222.695,222.695,765,41,160,1
66,train,-7053.109999999904,32.2081,3.0887,35.2968,0.0,178.78651000000002,178.78651000000002,762,51,144,1
67,train,-7101.449999999716,32.4369,3.3147,35.7516,0.0,227.01509,227.01509,732,44,181,1
68,train,-7294.039999999846,34.0274,3.1301,37.1575,0.0,210.47038999999998,210.47038999999998,613,45,219,1
69,train,-6730.244999999909,30.6867,2.9652,33.6519,0.0,164.37711999999996,164.37711999999996,733,45,184,1
70,train,-6492.540000000192,30.3715,2.1028,32.4743,0.0,72.52587,72.52587,694,55,208,1
71,train,-6898.949999999694,31.929,2.6444,34.5734,0.0,124.37534,124.37534,679,45,144,1
72,train,-6441.10999999966,30.222,2.0373,32.2593,0.0,70.67323,70.67323,695,49,210,1
73,train,-8013.770000000159,39.2838,3.5624,42.8462,0.0,282.55838,282.55838,512,44,183,1
74,train,-7359.604999999908,33.1022,3.8233,36.9255,0.0,299.43625,299.43625,628,47,169,1
75,train,-6941.794999999902,32.027,2.758,34.785,0.0,139.76279,139.76279,689,48,220,1
