step,phase,action,vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step,reward
0,0,,0,0,0.0,0.0,0,0,-0.0
1,0,,0,0,0.0,0.0,0,0,-0.0
2,0,,0,0,0.0,0.0,0,0,-0.0
3,0,,0,0,0.0,0.0,0,0,-0.0
4,0,,0,0,0.0,0.0,0,0,-0.0
5,0,,0,0,0.0,0.0,0,0,-0.0
6,0,,0,0,0.0,0.0,0,0,-0.0
7,0,,0,0,0.0,0.0,0,0,-0.0
8,0,,0,0,0.0,0.0,0,0,-0.0
9,0,,0,0,0.0,0.0,0,0,-0.0
10,0,,0,0,0.0,0.0,0,0,-0.0
11,0,,0,0,0.0,0.0,0,0,-0.0
12,0,,0,0,0.0,0.0,0,0,-0.0
13,0,,0,0,0.0,0.0,0,0,-0.0
14,0,,0,0,0.0,0.0,0,0,-0.0
15,0,,0,0,0.0,0.0,0,0,-0.0
16,0,,0,0,0.0,0.0,0,0,-0.0
17,0,,0,0,0.0,0.0,0,0,-0.0
18,0,,0,0,0.0,0.0,0,0,-0.0
19,0,,0,0,0.0,0.0,0,0,-0.0
20,0,,0,0,0.0,0.0,0,0,-0.0
21,0,,0,0,0.0,0.0,0,0,-0.0
22,0,,0,0,0.0,0.0,0,0,-0.0
23,0,,0,0,0.0,0.0,0,0,-0.0
24,0,,0,0,0.0,0.0,0,0,-0.0
25,0,,0,0,0.0,0.0,0,0,-0.0
26,0,,0,0,0.0,0.0,0,0,-0.0
27,0,,0,0,0.0,0.0,0,0,-0.0
28,0,,0,0,0.0,0.0,0,0,-0.0
29,0,,0,0,0.0,0.0,0,0,-0.0
30,0,,0,0,0.0,0.0,0,0,-0.0
31,0,,0,0,0.0,0.0,0,0,-0.0
32,0,,0,0,0.0,0.0,0,0,-0.0
33,0,,0,0,0.0,0.0,0,0,-0.0
34,0,,0,0,0.0,0.0,0,0,-0.0
35,0,,0,0,0.0,0.0,0,0,-0.0
36,0,,0,0,0.0,0.0,0,0,-0.0
37,0,,0,0,0.0,0.0,0,0,-0.0
38,0,,0,0,0.0,0.0,0,0,-0.0
39,0,,0,0,0.0,0.0,0,0,-0.0
40,0,,0,0,0.0,0.0,0,0,-0.0
41,0,,0,0,0.0,0.0,0,0,-0.0
42,0,,0,0,0.0,0.0,0,0,-0.0
43,0,,0,0,0.0,0.0,0,0,-0.0
44,0,,0,0,0.0,0.0,0,0,-0.0
45,0,,0,0,0.0,0.0,0,0,-0.0
46,0,,0,0,0.0,0.0,0,0,-0.0
47,0,,0,0,0.0,0.0,0,0,-0.0
48,0,,0,0,0.0,0.0,0,0,-0.0
49,1,,0,0,0.0,0.0,0,0,-0.0
50,1,,0,0,0.0,0.0,0,0,-0.0
51,1,,0,0,0.0,0.0,0,0,-0.0
52,1,,0,0,0.0,0.0,0,0,-0.0
53,1,,0,0,0.0,0.0,0,0,-0.0
54,1,,0,0,0.0,0.0,0,0,-0.0
55,1,,0,0,0.0,0.0,0,0,-0.0
56,1,,0,0,0.0,0.0,0,0,-0.0
57,1,,0,0,0.0,0.0,0,0,-0.0
58,1,,0,0,0.0,0.0,0,0,-0.0
59,1,,0,0,0.0,0.0,0,0,-0.0
60,1,,0,0,0.0,0.0,0,0,-0.0
61,1,,0,0,0.0,0.0,0,0,-0.0
62,1,,0,0,0.0,0.0,0,0,-0.0
63,1,,0,0,0.0,0.0,0,0,-0.0
64,1,,0,0,0.0,0.0,0,0,-0.0
65,1,,0,0,0.0,0.0,0,0,-0.0
66,1,,0,1,0.0,1.5,0,0,-0.015
67,1,,0,1,0.0,2.0,0,0,-0.015
68,1,,0,1,0.0,2.5,0,0,-0.015
69,1,,0,1,0.0,3.0,0,0,-0.015
70,1,,0,1,0.0,3.5,0,0,-0.015
71,1,,0,1,0.0,4.0,0,0,-0.015
72,1,,0,1,0.0,4.5,0,0,-0.015
73,1,,0,1,0.0,5.0,0,0,-0.015
74,1,,0,1,0.0,5.5,0,0,-0.015
75,1,,0,1,0.0,6.0,0,0,-0.015
76,1,,0,1,0.0,6.5,0,0,-0.015
77,1,,0,2,0.0,8.5,0,0,-0.03
78,1,,4,3,6.0,11.0,0,0,-0.08499999999999999
79,1,,4,3,8.0,12.5,0,0,-0.08499999999999999
80,1,,4,3,10.0,14.0,0,0,-0.08499999999999999
81,1,,4,3,12.0,15.5,0,0,-0.08499999999999999
82,1,,4,3,14.0,17.0,0,0,-0.08499999999999999
83,1,,4,4,16.0,20.0,0,0,-0.1
84,1,,4,4,18.0,22.0,0,0,-0.1
85,1,,4,4,20.0,24.0,0,0,-0.1
86,1,,7,4,26.5,26.0,0,0,-0.13
87,1,,7,4,30.0,28.0,0,0,-0.13
88,1,,7,4,33.5,30.0,0,0,-0.13
89,1,,9,4,40.0,32.0,0,0,-0.15
90,1,,9,4,44.5,34.0,0,0,-0.15
91,1,,9,4,49.0,36.0,0,0,-0.15
92,1,,9,4,53.5,38.0,0,0,-0.15
93,1,,9,4,58.0,40.0,0,0,-0.15
94,1,,9,5,62.5,43.5,0,0,-0.16499999999999998
95,1,,9,5,67.0,46.0,0,0,-0.16499999999999998
96,1,,9,5,71.5,48.5,0,0,-0.16499999999999998
97,1,,10,6,77.5,52.5,0,0,-0.19
98,1,,10,6,82.5,55.0,0,0,-0.19
99,1,,10,7,87.5,59.5,0,0,-0.20500000000000002
100,1,,10,7,92.5,63.0,0,0,-0.20500000000000002
101,1,,10,8,97.5,68.0,0,0,-0.22
102,1,,10,8,102.5,72.0,0,0,-0.22
103,1,,11,8,109.0,76.0,0,0,-0.22999999999999998
104,1,,11,8,114.5,80.0,0,0,-0.22999999999999998
105,1,,11,8,120.0,84.0,0,0,-0.22999999999999998
106,1,,11,8,125.5,88.0,0,0,-0.22999999999999998
107,1,,11,8,131.0,92.0,0,0,-0.22999999999999998
108,1,,11,8,136.5,96.0,0,0,-0.22999999999999998
109,1,,11,8,142.0,100.0,0,0,-0.22999999999999998
110,1,,11,8,147.5,104.0,0,0,-0.22999999999999998
111,1,,12,8,154.5,108.0,0,0,-0.24
112,1,,12,8,160.5,112.0,0,0,-0.24
113,1,,13,8,168.0,116.0,0,0,-0.25
114,1,,13,8,174.5,120.0,0,0,-0.25
115,1,,13,8,181.0,124.0,0,0,-0.25
116,1,,13,8,187.5,128.0,0,0,-0.25
117,1,,13,8,194.0,132.0,0,0,-0.25
118,1,,13,8,200.5,136.0,0,0,-0.25
119,1,,13,8,207.0,140.0,0,0,-0.25
120,1,,13,8,213.5,144.0,0,0,-0.25
121,1,,13,8,220.0,148.0,0,0,-0.25
122,1,,13,8,226.5,152.0,0,0,-0.25
123,1,,13,8,233.0,156.0,0,0,-0.25
124,1,,13,8,239.5,160.0,0,0,-0.25
125,1,,13,8,246.0,164.0,0,0,-0.25
126,1,,13,8,252.5,168.0,0,0,-0.25
127,1,,13,8,259.0,172.0,0,0,-0.25
128,1,,13,8,265.5,176.0,0,0,-0.25
129,1,,13,8,272.0,180.0,0,0,-0.25
130,1,,13,8,278.5,184.0,0,0,-0.25
131,1,,13,8,285.0,188.0,0,0,-0.25
