global_step,batch_idx,env_label,episode,step_in_episode,reward,cumulative_reward_episode,queue_length,queue_ma50,loss
97,0,1,1,4,0.0,0.0,0,0.0,0.0
98,0,2,2,4,0.0,0.0,0,0.0,0.0
99,0,3,3,4,0.0,0.0,0,0.0,0.0
100,0,4,4,4,0.0,0.0,0,0.0,0.0
101,0,5,5,4,0.0,0.0,0,0.0,0.0
102,0,6,6,4,0.0,0.0,0,0.0,0.0
103,0,7,7,4,0.0,0.0,0,0.0,0.0
104,0,8,8,4,0.0,0.0,0,0.0,0.0
105,0,9,9,4,0.0,0.0,0,0.0,0.0
106,0,10,10,4,0.0,0.0,0,0.0,0.0
107,0,11,11,4,0.0,0.0,0,0.0,0.0
108,0,12,12,4,0.0,0.0,0,0.0,0.0
109,0,13,13,4,0.0,0.0,0,0.0,0.0
110,0,14,14,4,0.0,0.0,0,0.0,0.0
111,0,15,15,4,0.0,0.0,0,0.0,0.0
112,0,16,16,4,0.0,0.0,0,0.0,0.0
113,0,17,17,4,0.0,0.0,0,0.0,0.0
114,0,18,18,4,0.0,0.0,0,0.0,0.0
115,0,19,19,4,0.0,0.0,0,0.0,0.0
116,0,20,20,4,0.0,0.0,0,0.0,0.0
117,0,21,21,4,0.0,0.0,0,0.0,0.0
118,0,22,22,4,0.0,0.0,0,0.0,0.0
119,0,23,23,4,0.0,0.0,0,0.0,0.0
120,0,0,0,5,0.0,0.0,0,0.0,0.0
121,0,1,1,5,0.0,0.0,0,0.0,0.0
122,0,2,2,5,0.0,0.0,0,0.0,0.0
123,0,3,3,5,0.0,0.0,0,0.0,0.0
124,0,4,4,5,0.0,0.0,0,0.0,0.0
125,0,5,5,5,0.0,0.0,0,0.0,0.0
126,0,6,6,5,0.0,0.0,0,0.0,0.0
127,0,7,7,5,0.0,0.0,0,0.0,0.0
128,0,8,8,5,0.0,0.0,0,0.0,0.0
129,0,9,9,5,0.0,0.0,0,0.0,0.0
130,0,10,10,5,0.0,0.0,0,0.0,0.0
131,0,11,11,5,0.0,0.0,0,0.0,0.0
132,0,12,12,5,0.0,0.0,0,0.0,0.0
133,0,13,13,5,0.0,0.0,0,0.0,0.0
134,0,14,14,5,0.0,0.0,0,0.0,0.0
135,0,15,15,5,0.0,0.0,0,0.0,0.0
136,0,16,16,5,0.0,0.0,0,0.0,0.0
137,0,17,17,5,0.0,0.0,0,0.0,0.0
138,0,18,18,5,0.0,0.0,0,0.0,0.0
139,0,19,19,5,0.0,0.0,0,0.0,0.0
140,0,20,20,5,0.0,0.0,0,0.0,0.0
141,0,21,21,5,0.0,0.0,0,0.0,0.0
142,0,22,22,5,0.0,0.0,0,0.0,0.0
143,0,23,23,5,0.0,0.0,0,0.0,0.0
144,0,0,0,6,0.0,0.0,0,0.0,0.0
145,0,1,1,6,0.0,0.0,0,0.0,0.0
146,0,2,2,6,0.0,0.0,0,0.0,0.0
147,0,3,3,6,0.0,0.0,0,0.0,0.0
148,0,4,4,6,0.0,0.0,0,0.0,0.0
149,0,5,5,6,0.0,0.0,0,0.0,0.0
150,0,6,6,6,0.0,0.0,0,0.0,0.0
151,0,7,7,6,0.0,0.0,0,0.0,0.0
152,0,8,8,6,0.0,0.0,0,0.0,0.0
153,0,9,9,6,0.0,0.0,0,0.0,0.0
154,0,10,10,6,0.0,0.0,0,0.0,0.0
155,0,11,11,6,0.0,0.0,0,0.0,0.0
156,0,12,12,6,0.0,0.0,0,0.0,0.0
157,0,13,13,6,0.0,0.0,0,0.0,0.0
158,0,14,14,6,0.0,0.0,0,0.0,0.0
